timestamp_ms,ir_value
4879,25250
4889,25269
4899,25267
4909,25273
4920,25269
4930,25277
4940,25270
4949,25282
4959,25282
4969,25269
4979,25282
4989,25284
4999,25287
5010,25284
5020,25290
5030,25278
5039,25290
5049,25287
5059,25286
5069,25286
5079,25293
5090,25296
5100,25291
5110,25295
5120,25296
5129,25303
5139,25296
5149,25298
5159,25301
5169,25309
5180,25305
5190,25295
5200,25302
5210,25303
5219,25307
5229,25294
5239,25305
5249,25300
5260,25307
5270,25302
5280,25294
5290,25300
5300,25300
5309,25297
5319,25282
5329,25288
5339,25275
5350,25277
5360,25269
5370,25264
5380,25268
5389,25271
5399,25280
5409,25271
5419,25277
5430,25280
5440,25288
5450,25277
5460,25278
5470,25286
5479,25289
5489,25285
5499,25282
5509,25283
5520,25301
5530,25289
5540,25286
5550,25297
5560,25288
5569,25295
5579,25286
5589,25285
5600,25290
5610,25289
5620,25287
5630,25280
5640,25284
5649,25286
5659,25283
5669,25280
5679,25287
5690,25283
5700,25295
5710,25289
5720,25279
5730,25282
5740,25282
5749,25295
5759,25277
5770,25291
5780,25292
5790,25297
5800,25285
5810,25288
5820,25288
5829,25288
5839,25286
5849,25278
5860,25286
5870,25286
5880,25290
5890,25283
5900,25290
5910,25286
5919,25289
5929,25283
5940,25278
5950,25283
5960,25281
5970,25281
5980,25256
5990,25255
5999,25256
6009,25256
6020,25243
6030,25250
6040,25249
6050,25248
6060,25250
6070,25257
6080,25249
6089,25251
6099,25256
6110,25253
6120,25261
6130,25266
6140,25272
6150,25252
6160,25262
6170,25261
6179,25269
6190,25272
6200,25266
6210,25269
6220,25276
6230,25278
6240,25274
6250,25274
6259,25283
6270,25279
6280,25274
6290,25268
6300,25275
6310,25285
6320,25278
6330,25277
6340,25273
6349,25285
6360,25276
6370,25278
6380,25281
6390,25292
6400,25289
6410,25283
6420,25289
6430,25295
6440,25293
6450,25291
6460,25293
6470,25292
6480,25302
6490,25291
6500,25287
6510,25286
6520,25300
6530,25297
6540,25281
6550,25290
6560,25286
6570,25298
6580,25274
6590,25290
6601,25295
6610,25288
6620,25284
6630,25293
6640,25299
6650,25292
6660,25292
6670,25297
6681,25284
6690,25289
6700,25278
6710,25263
6720,25250
730,25257
6740,25254
6750,25249
6761,25250
6770,25256
6780,25263
6790,25255
6800,25257
6810,25272
6820,25272
6830,25268
6841,25280
6850,25274
6860,25281
6870,25276
6880,25279
6890,25284
6900,25295
6910,25277
6921,25288
6931,25287
6940,25303
6950,25289
6960,25299
6970,25297
6980,25296
6990,25287
7001,25290
7011,25292
7020,25292
7030,25294
7040,25291
7050,25290
7060,25299
7070,25296
7081,25289
7091,25299
7100,25289
7110,25286
7120,25294
7130,25298
7140,25304
7150,25301
7161,25297
7171,25297
7180,25305
7190,25302
7200,25293
7210,25303
7220,25311
7230,25307
7241,25305
7251,25306
7261,25304
7270,25309
7280,25303
7290,25309
7300,25305
7310,25306
7321,25306
7331,25300
7341,25303
7350,25312
7360,25308
7370,25300
7380,25305
7390,25306
7401,25309
7411,25308
7421,25313
7430,25306
7440,25308
7450,25283
7460,25287
7470,25275
7481,25273
7491,25262
7501,25261
7510,25267
7520,25271
7530,25262
7540,25269
7550,25271
