timestamp_ms,ir_value
4887,24800
4897,24756
4907,24735
4917,24720
4927,24719
4937,24718
4947,24743
4957,24760
4967,24794
4977,24817
4987,24863
4997,24894
5007,24933
5017,24953
5027,24985
5037,25011
5046,25041
5057,25044
5067,25054
5077,25045
5086,25026
5097,25016
5107,24995
5117,24988
5126,24973
5137,24962
5147,24951
5157,24963
5166,24961
5177,24970
5187,24984
5197,24990
5206,25002
5217,25017
5227,25030
5237,25054
5246,25071
5257,25094
5267,25104
5277,25118
5286,25140
5297,25147
5307,25161
5317,25168
5326,25183
5337,25191
5347,25220
5357,25219
5367,25234
5377,25230
5387,25227
5397,25180
5407,25119
5417,25037
5427,24984
5437,24927
5447,24887
5457,24856
5467,24817
5477,24794
5487,24791
5497,24779
5507,24796
5516,24807
5527,24836
5537,24854
5547,24884
5556,24910
5567,24930
5577,24960
5587,24982
5596,25007
5607,25030
5617,25050
5627,25051
5636,25055
5647,25029
5657,25023
5667,24995
5677,24985
5687,24962
5697,24955
5707,24950
5717,24944
5727,24941
5737,24946
5746,24957
5757,24975
5767,24981
5777,24995
5786,25004
5797,25031
5807,25040
5817,25062
5826,25067
5837,25087
5847,25094
5857,25104
5866,25126
5877,25126
5887,25143
5897,25137
5906,25162
5917,25160
5927,25164
5937,25141
5947,25099
5957,25027
5967,24968
5976,24906
5987,24849
5997,24789
6007,24753
6016,24702
6027,24693
6037,24675
6047,24680
6056,24675
6067,24693
6077,24724
6087,24742
6096,24770
6107,24798
6117,24826
6127,24844
6136,24883
6147,24888
6157,24919
6167,24927
6176,24939
6187,24931
6197,24917
6207,24910
6216,24902
6227,24887
6237,24871
6246,24863
6257,24852
6267,24846
6277,24851
6286,24854
6297,24857
6307,24870
6317,24881
6326,24894
6337,24911
6347,24929
6357,24941
6366,24961
6377,24977
6387,24999
6397,25003
6406,25027
6417,25044
6427,25050
6437,25069
6446,25082
6457,25093
6467,25103
6477,25093
6486,25071
6497,24999
6507,24939
6517,24871
6526,24817
6537,24744
6547,24698
6556,24649
6566,24612
6577,24583
6587,24572
6596,24557
6607,24555
6617,24558
6627,24571
6636,24590
6647,24616
6657,24650
6667,24690
6676,24722
6687,24755
6697,24792
6707,24812
6716,24840
6727,24834
6737,24852
6747,24838
6756,24843
6767,24824
6777,24821
6787,24801
6796,24802
6807,24793
6817,24801
6827,24804
6836,24808
6847,24809
6857,24837
6867,24847
6876,24870
6887,24877
6897,24912
6907,24922
6916,24949
6927,24959
6937,24987
6947,24997
6956,25024
6967,25028
6977,25048
6987,25066
6996,25085
7007,25092
7017,25110
7026,25111
7036,25086
7047,25019
7057,24953
7066,24884
7076,24828
7087,24764
7097,24727
7106,24673
7116,24641
7127,24623
7137,24618
7146,24626
7156,24643
7167,24653
7177,24689
7186,24720
7196,24753
7207,24789
7217,24823
7226,24858
7236,24887
7247,24929
7257,24955
7266,24974
7276,24979
7287,24967
7297,24960
7306,24943
7316,24931
7327,24925
7337,24904
7346,24903
7357,24891
7367,24898
7377,24890
7386,24905
7397,24911
7407,24926
7417,24939
7426,24966
7437,24974
7447,24993
7457,25012
7466,25031
7477,25043
7487,25071
7496,25080
7506,25096
7517,25103
7527,25117
7536,25133
7546,25143
7557,25151
7567,25165
7576,25139
7586,25094
7597,25018
7607,24954
7616,24899
7626,24835
7637,24785
7647,24742
7656,24713
7667,24677
7677,24684
7687,24670
7696,24694
7707,24702
7717,24734
7727,24770
7736,24802
7747,24830
7757,24869
7766,24896
7776,24930
7787,24957
7797,24988
7806,24993
7816,25005
7827,24992
7837,24983
7846,24964
7856,24943
7867,24936
7877,24914
7886,24912
7896,24894
7907,24893
7917,24891
7926,24901
7936,24910
7947,24929
7957,24942
7966,24959
7976,24976
7987,24999
7997,25015
8006,25038
8017,25045
8027,25074
8037,25077
8046,25093
8057,25103
8067,25124
8076,25128
8086,25143
8097,25149
8107,25151
8116,25126
8126,25074
8137,24992
8147,24928
8156,24863
8166,24804
8177,24750
8187,24702
8196,24664
8206,24637
8217,24615
8227,24613
8236,24620
8246,24624
8257,24648
8267,24664
8276,24703
8286,24724
8297,24761
8307,24785
8316,24835
8326,24852
8337,24884
8347,24900
8356,24913
8366,24904
8377,24907
8387,24878
8396,24872
8406,24843
8417,24846
8427,24828
8436,24822
8446,24816
8457,24820
8467,24824
8476,24835
8486,24845
8497,24860
8507,24878
8516,24890
8526,24912
8537,24938
8547,24964
8556,24975
8566,24991
8577,25010
8587,25020
8596,25037
8606,25043
8617,25065
8627,25072
8636,25080
8646,25081
8657,25074
8666,25025
8676,24966
8686,24890
8697,24830
8706,24765
8716,24697
8726,24648
8737,24601
8746,24559
8756,24548
8766,24518
8777,24506
8786,24505
8796,24512
8806,24532
8817,24581
8826,24606
8836,24646
8846,24682
8857,24719
8866,24752
8876,24785
8886,24801
8897,24819
8906,24822
8916,24816
8926,24812
8937,24801
8946,24788
8956,24780
8966,24762
8977,24759
8986,24752
8996,24761
9006,24756
9017,24763
9026,24765
9036,24782
9046,24787
9057,24814
9066,24824
9076,24841
9086,24858
9097,24879
9106,24885
9116,24910
9126,24926
9137,24947
9146,24948
9156,24974
9166,24979
9177,24998
9186,25000
9196,25011
9206,24992
9217,24960
9226,24894
9236,24826
9246,24754
9257,24691
9266,24628
9276,24569
9286,24510
9297,24474
9306,24427
9316,24393
9326,24374
9337,24403
9346,24435
9356,24476
9366,24516
9377,24563
9386,24605
9396,24647
9406,24677
9417,24720
9427,24758
9436,24777
9446,24792
9457,24806
9467,24794
9476,24792
9486,24785
9497,24777
9506,24760
9516,24753
9526,24742
9537,24742
9546,24737
9556,24738
9566,24743
9577,24765
9586,24768
9596,24787
9606,24798
9617,24824
9626,24839
9636,24860
9646,24873
9657,24900
9666,24919
9676,24933
9686,24951
9697,24981
9706,24991
9716,25008
9726,25017
9737,25047
9746,25043
9756,25055
9766,25041
9777,25015
9786,24945
9796,24882
9806,24805
9817,24751
9826,24683
9836,24628
9846,24587
9857,24548
9866,24524
9876,24506
9886,24497
9897,24492
9906,24512
9916,24544
9927,24592
9937,24624
9946,24671
9956,24703
9967,24748
9977,24782
9986,24817
9996,24839
10007,24865
10017,24862
10026,24859
10036,24852
10047,24836
10057,24824
10066,24813
10076,24798
10087,24795
10096,24781
10106,24776
10116,24785
10127,24787
10136,24795
10146,24804
10156,24813
10167,24828
10176,24849
10186,24850
10196,24873
10207,24889
10216,24907
10226,24916
10236,24945
10247,24941
10256,24968
10266,24971
10277,24997
10287,24992
10296,25017
10306,25009
10317,25015
10327,24974
10336,24916
10346,24842
10357,24766
10366,24700
10376,24626
10386,24547
10397,24500
10406,24433
10416,24396
10426,24351
10437,24352
10446,24370
10456,24400
10466,24446
10477,24496
10486,24528
10496,24570
10506,24607
10517,24642
10526,24666
10536,24694
10546,24709
10557,24728
10566,24738
10576,24739
10586,24726
10597,24726
10606,24717
10616,24705
10626,24695
10637,24679
10646,24687
10656,24660
10666,24689
10677,24684
10686,24692
10696,24699
10706,24717
10717,24721
10726,24744
10736,24756
10747,24779
10757,24795
10766,24814
10776,24829
10787,24852
10797,24860
10806,24876
10816,24887
10827,24910
10836,24923
10846,24932
10856,24940
10867,24950
10876,24933
10886,24903
10896,24842
10907,24783
10916,24702
10926,24634
10936,24559
10947,24482
10956,24420
10966,24342
10976,24281
10987,24257
10996,24264
11006,24280
11016,24325
11027,24366
11036,24402
11046,24437
11056,24486
11067,24523
11076,24553
11086,24579
11096,24616
11107,24630
11116,24651
11126,24649
11136,24656
11147,24643
11156,24634
11166,24622
11176,24622
11187,24605
11196,24594
11206,24577
11216,24573
11227,24569
11236,24572
11246,24579
11256,24591
11267,24603
11276,24630
11286,24649
11296,24681
11307,24695
11316,24720
11326,24736
11336,24776
11347,24787
11356,24803
11366,24819
11376,24830
11387,24850
