timestamp_ms,ir_value
4880,26449
4890,26457
4900,26466
4910,26468
4919,26470
4929,26465
4939,26468
4949,26477
4959,26480
4969,26486
4979,26484
4990,26491
5000,26479
5010,26495
5020,26489
5030,26507
5039,26504
5049,26503
5059,26500
5069,26509
5079,26501
5089,26504
5099,26488
5110,26454
5120,26412
5130,26377
5140,26321
5150,26283
5159,26261
5169,26250
5179,26242
5189,26252
5199,26267
5209,26293
5220,26306
5230,26319
5240,26333
5250,26352
5260,26377
5270,26398
5279,26408
5289,26413
5299,26422
5309,26447
5319,26443
5329,26455
5340,26466
5350,26466
5360,26460
5370,26467
5380,26457
5390,26457
5399,26465
5409,26456
5419,26445
5429,26455
5439,26455
5450,26463
5460,26468
5470,26466
5480,26471
5490,26479
5500,26484
5510,26490
5519,26497
5529,26501
5539,26494
5549,26509
5560,26511
5570,26516
5580,26524
5590,26522
5600,26525
5610,26531
5620,26529
5630,26536
5639,26543
5649,26541
5659,26534
5669,26548
5680,26536
5690,26528
5700,26524
5710,26496
5720,26468
5730,26430
5740,26396
5749,26358
5759,26335
5769,26324
5779,26312
5790,26323
5800,26332
5810,26360
5820,26379
5830,26387
5840,26408
5850,26431
5860,26438
5869,26452
5879,26461
5889,26468
5900,26473
5910,26477
5920,26491
5930,26493
5940,26494
5950,26493
5960,26482
5970,26490
5980,26484
5989,26484
5999,26471
6009,26467
6020,26467
6030,26468
6040,26472
6050,26473
6060,26475
6070,26474
6080,26487
6090,26483
6100,26486
6109,26497
6119,26488
6130,26495
6140,26500
6150,26498
6160,26505
6170,26508
6180,26513
6190,26508
6200,26517
6210,26522
6220,26519
6229,26521
6240,26522
6250,26515
6260,26519
6270,26519
6280,26526
6290,26519
6300,26504
6310,26478
6320,26444
6330,26423
6339,26399
6350,26379
6360,26350
6370,26356
6380,26353
6390,26363
6400,26381
6410,26389
6420,26404
6430,26422
6440,26435
6450,26450
6460,26464
6470,26464
6480,26471
6490,26490
6500,26492
6510,26495
6520,26508
6530,26508
6540,26513
6550,26507
6560,26505
6570,26503
6580,26504
6590,26492
6600,26491
6610,26481
6620,26484
6630,26494
6640,26491
6650,26487
6660,26493
6670,26492
6681,26505
6690,26501
6700,26508
6710,26495
