timestamp_ms,ir_value
4881,28667
4890,28649
4901,28630
4911,28622
4920,28591
4931,28565
4941,28533
4950,28525
4961,28513
4970,28512
4980,28528
4991,28528
5000,28550
5011,28566
5021,28582
5030,28596
5041,28594
5051,28615
5060,28620
5071,28623
5081,28636
5090,28645
5101,28636
5111,28638
5121,28652
5131,28646
5140,28643
5151,28637
5161,28647
5170,28640
5181,28637
5191,28651
5200,28638
5211,28625
5221,28642
5231,28646
5241,28641
5251,28635
5261,28651
5271,28651
5280,28644
5291,28657
5301,28661
5310,28665
5321,28654
5331,28669
5341,28664
5351,28667
5361,28674
5371,28672
5381,28670
5391,28667
5401,28675
5411,28672
5420,28674
5431,28680
5441,28677
5451,28683
5461,28678
5471,28686
5481,28678
5491,28687
5501,28687
5511,28689
5521,28685
5530,28689
5541,28700
5551,28690
5561,28684
5571,28664
5581,28667
5591,28637
5601,28618
5611,28595
5621,28570
5631,28546
5642,28531
5651,28535
5661,28552
5671,28560
5681,28586
5691,28602
5701,28619
5711,28621
5721,28638
5731,28642
5741,28649
5752,28648
5761,28667
5771,28661
5781,28661
5791,28661
5801,28668
5811,28675
5821,28667
5831,28672
5841,28665
5851,28661
5862,28670
5871,28671
5881,28668
5892,28661
5901,28670
5911,28667
5921,28665
5931,28665
5942,28677
5951,28677
5961,28671
5972,28678
5981,28681
5991,28681
6001,28672
6011,28693
6022,28695
6031,28688
6041,28694
6052,28701
6061,28696
6071,28699
6082,28698
6091,28696
6101,28693
6111,28687
6121,28700
6132,28706
6141,28696
6151,28692
6162,28701
6171,28695
6181,28697
6192,28703
6201,28701
6212,28693
6221,28691
6231,28700
6242,28686
6251,28672
6261,28649
6272,28655
6281,28647
6292,28632
6302,28630
6311,28628
6322,28630
6331,28622
6341,28634
6352,28644
6361,28641
6372,28646
6382,28666
6391,28666
6402,28665
6411,28669
6421,28682
6432,28690
6441,28693
6452,28688
6462,28694
6471,28687
6482,28678
6492,28694
6501,28694
6512,28679
6521,28678
6531,28683
6542,28686
6551,28679
6562,28673
6572,28682
6581,28681
6592,28680
6602,28688
6611,28691
6622,28698
6632,28697
6641,28712
6652,28707
6662,28708
6671,28718
6682,28717
6692,28718
6702,28726
6712,28731
6721,28724
6732,28734
6742,28731
6751,28742
6762,28732
6772,28739
6781,28738
6792,28732
6802,28743
6811,28744
6822,28736
6832,28745
6841,28737
6852,28727
6862,28728
6871,28720
6882,28693
6892,28680
6902,28646
6912,28605
6922,28588
6932,28565
6942,28547
6952,28548
6962,28549
6972,28560
6982,28578
6992,28595
7002,28616
7012,28635
7022,28668
7032,28660
7042,28678
7052,28692
7062,28693
7072,28700
7082,28713
7092,28711
7101,28705
7112,28712
7122,28709
7132,28711
7142,28714
7152,28707
7162,28704
7172,28702
7182,28702
7192,28698
7202,28697
7212,28705
7222,28699
7232,28695
7242,28716
7252,28709
7262,28709
7272,28709
7282,28712
7292,28717
7303,28718
7312,28728
7322,28725
7333,28730
7342,28734
7352,28733
7362,28726
7372,28733
7382,28738
7392,28737
7402,28736
7412,28742
7422,28731
7432,28728
7443,28740
7452,28734
7462,28736
7473,28739
7482,28737
7492,28739
7503,28728
7512,28724
7522,28707
7532,28678
7542,28689
7553,28675
7562,28655
7572,28649
7583,28652
7592,28650
7602,28644
7613,28660
7622,28663
7632,28663
7643,28679
7652,28691
7662,28693
7673,28694
7682,28710
7693,28698
7702,28703
7712,28709
7723,28714
7732,28716
7742,28717
7753,28718
7762,28718
7772,28710
7783,28714
7792,28713
7803,28707
7813,28699
7822,28706
7833,28699
7842,28697
7852,28703
7863,28708
7872,28701
7882,28705
7893,28715
7902,28711
7913,28705
7923,28725
7932,28723
7943,28719
7953,28722
7962,28728
7973,28725
7982,28719
7992,28732
8003,28734
8012,28732
8023,28740
8033,28734
8042,28737
8053,28731
8063,28745
8072,28733
8083,28743
8093,28743
8102,28750
8113,28750
8122,28746
8132,28748
8143,28740
8152,28738
8163,28723
8173,28712
8182,28685
8193,28646
8203,28623
8212,28590
8223,28563
8233,28559
8242,28562
8253,28571
8263,28567
8273,28591
8283,28601
8293,28625
8303,28649
8313,28660
8322,28662
8333,28679
8343,28685
8352,28695
8363,28694
8373,28703
8382,28699
8393,28694
8403,28708
8413,28703
8423,28703
8433,28713
8443,28712
8453,28708
8463,28705
8473,28706
8483,28703
8493,28695
8503,28707
8513,28705
8522,28694
8533,28714
8543,28717
8553,28715
8563,28712
8573,28723
8583,28717
8593,28721
8603,28730
8613,28729
8623,28732
8633,28731
8643,28738
8653,28735
8662,28721
8673,28739
8683,28736
8693,28742
8703,28742
8713,28747
8723,28740
8733,28733
8743,28751
8753,28749
8763,28742
8774,28747
8783,28754
8793,28752
8804,28737
8813,28758
8823,28750
8833,28743
8843,28747
8853,28732
8863,28719
8873,28682
8883,28658
8893,28601
8903,28566
8914,28551
8923,28538
8933,28525
8944,28532
8953,28543
8963,28556
8973,28572
8983,28599
8993,28608
9003,28622
9013,28652
9024,28663
9033,28677
9043,28678
9054,28708
9063,28701
9073,28703
9084,28711
9093,28714
9103,28708
9114,28713
9123,28717
9133,28710
9144,28711
9153,28700
9163,28694
9174,28686
9183,28698
9194,28683
9203,28680
9213,28692
9224,28696
9233,28705
9243,28709
9254,28718
9263,28719
9273,28714
9284,28730
9293,28729
9303,28728
9314,28737
9323,28737
9334,28749
9344,28744
9353,28753
9364,28745
9374,28742
9383,28752
9394,28746
9403,28745
9413,28758
9424,28755
9433,28756
9443,28761
9454,28754
9463,28765
9473,28762
9484,28772
9493,28766
9504,28765
9514,28773
9523,28770
9534,28768
9544,28778
9553,28784
9564,28779
9574,28779
9583,28780
9594,28775
9604,28765
9613,28744
9624,28692
9633,28628
9644,28593
9654,28550
9663,28522
9674,28506
9684,28489
9693,28493
9704,28480
9714,28494
9723,28495
9734,28514
9744,28553
9753,28560
9764,28580
9774,28611
9783,28627
9794,28642
9804,28657
9814,28679
9824,28686
9834,28693
9844,28717
9854,28702
9863,28701
9874,28706
9884,28704
9893,28701
9904,28697
9914,28684
9923,28680
9934,28666
9944,28670
9953,28669
9964,28665
9974,28684
9984,28685
9994,28698
10004,28713
10014,28724
10024,28733
10034,28737
10044,28744
10054,28748
10064,28756
10074,28761
10084,28752
10094,28757
10104,28771
10114,28764
10124,28769
10134,28771
10144,28772
10154,28785
10164,28777
10174,28781
10184,28775
10194,28769
10204,28791
10214,28781
10224,28774
10234,28785
10244,28785
10254,28781
10265,28796
10274,28793
10284,28797
10295,28790
10304,28797
10314,28789
10324,28791
10334,28806
10344,28800
10354,28807
10364,28808
10374,28809
10384,28808
10394,28799
10404,28799
10414,28781
10424,28757
10435,28738
10444,28698
10454,28656
10465,28631
10474,28611
10484,28603
10495,28599
10504,28611
10514,28618
10524,28632
10534,28660
10544,28683
10554,28704
10564,28722
10575,28739
10584,28740
10594,28749
10605,28759
10614,28762
10624,28768
10635,28775
10644,28779
10654,28776
10665,28782
10674,28775
10684,28767
10695,28764
10704,28768
10715,28767
10724,28759
10734,28764
10745,28761
10754,28764
10764,28775
10775,28774
10784,28767
10794,28764
10805,28778
10814,28773
10824,28772
10835,28796
10844,28797
10855,28794
10865,28797
10874,28801
10885,28804
10895,28796
10904,28803
10915,28799
10925,28804
10934,28814
10945,28810
10954,28798
10964,28822
10975,28810
10984,28812
10994,28822
11005,28818
11014,28823
11024,28825
11035,28823
11044,28821
1055,28817
11065,28832
11074,28834
11085,28814
11095,28836
11104,28828
11115,28822
11125,28838
11134,28836
11145,28839
11155,28843
11164,28841
11175,28829
11185,28843
11194,28832
11205,28818
11215,28805
11224,28773
11235,28732
11245,28709
11254,28673
11265,28652
11275,28652
11284,28651
11295,28654
11305,28669
11315,28681
11325,28709
11335,28722
11345,28746
11355,28755
11365,28775
11375,28787
11385,28791
11395,28796
11405,28806
11415,28810
11425,28813
11435,28820
11445,28817
11455,28811
11465,28815
11475,28813
11485,28808
11495,28815
11505,28804
11515,28795
11525,28812
11535,28808
11545,28803
11555,28805
11565,28807
11575,28810
11585,28823
11595,28820
11605,28816
11615,28837
11625,28829
11636,28827
11645,28837
11655,28832
11665,28832
11675,28851
11685,28842
11695,28835
11705,28849
11715,28852
11725,28845
11735,28850
11745,28848
11755,28853
11765,28856
11775,28852
11785,28845
11795,28849
11805,28859
11815,28850
11825,28858
11835,28850
11845,28859
11855,28859
11865,28868
11875,28865
11885,28864
11895,28869
11905,28866
11915,28858
11925,28869
11935,28866
11945,28864
11955,28868
11965,28867
11975,28849
11986,28851
11995,28831
12005,28805
12016,28783
12025,28750
12035,28733
12046,28720
12055,28709
12065,28704
12076,28723
12085,28725
12095,28738
12106,28756
12115,28765
12125,28783
12136,28802
12145,28810
12155,28820
12166,28833
12175,28839
12185,28847
12196,28860
12205,28859
12215,28845
12226,28840
12235,28834
12245,28835
12256,28876
12266,28917
12275,28976
12285,29029
12295,29065
12305,29117
12316,29161
12326,29184
12336,29203
12345,29205
12355,29177
12365,29171
12376,29173
12386,29159
12396,29136
12405,29126
12415,29110
12425,29098
12436,29088
12446,29079
12456,29073
12465,29074
12475,29068
12485,29064
12496,29065
12506,29064
12516,29068
12525,29066
12535,29069
12545,29062
12556,29062
12566,29068
12576,29052
12585,29050
12595,29051
12605,29041
12616,29045
12626,29041
12636,29014
12645,28991
12655,28968
12666,28947
12676,28942
12686,28923
12695,28949
12705,28965
12716,28982
12726,28990
12736,29002
12746,28989
12755,28958
12766,28902
12776,28868
12786,28853
12796,28820
12805,28809
12816,28787
12826,28783
12836,28780
12846,28777
12855,28775
12866,28781
12876,28770
12886,28782
12896,28794
12905,28796
12916,28793
12926,28819
12936,28834
12946,28846
12956,28875
12966,28881
12976,28900
12986,28902
12996,28915
13006,28897
13016,28909
13026,28898
13036,28889
13046,28883
13056,28870
13066,28872
13076,28855
13086,28853
13096,28845
13106,28847
13117,28846
13126,28844
13136,28847
13146,28864
13157,28865
13166,28866
13176,28868
13186,28880
13196,28879
13206,28899
13216,28894
13226,28899
13236,28903
13246,28908
13256,28905
13266,28915
13277,28916
13286,28932
13296,28936
13306,28938
13317,28938
13326,28949
13336,28944
13346,28952
13357,28951
13366,28959
13376,28948
13386,28968
13397,28968
13406,28978
13416,28971
13426,28975
13437,28983
13446,28979
13456,28983
13466,28994
13477,28992
13486,29000
13496,28990
13506,28974
13517,28969
13526,28939
13536,28917
13546,28889
13557,28862
13567,28844
13576,28822
13586,28797
13597,28782
13607,28755
13616,28745
13626,28723
13637,28720
13647,28723
13656,28720
13666,28718
13677,28734
13686,28746
13696,28759
13706,28787
13717,28797
13726,28813
13736,28828
13747,28851
13757,28859
13766,28870
13776,28871
13787,28879
13796,28863
13806,28854
13817,28849
13827,28826
13836,28829
13846,28827
13857,28816
13866,28804
13876,28809
13887,28798
13897,28798
13906,28812
13916,28801
13927,28820
13937,28816
13946,28827
13957,28821
13967,28840
13976,28838
13986,28842
13997,28851
14007,28852
14016,28864
14027,28852
14037,28873
14047,28874
14056,28886
14067,28871
14077,28884
14086,28882
14097,28886
14107,28884
14117,28886
14126,28895
14137,28881
14147,28896
14156,28892
14166,28904
14177,28901
14187,28908
14196,28904
14207,28904
14217,28914
