timestamp_ms,ir_value
4879,26141
4889,26137
4900,26126
4910,26150
4919,26135
4929,26137
4940,26146
4949,26132
4959,26136
4970,26132
4979,26139
4989,26144
5000,26131
5010,26146
5019,26139
5029,26136
5040,26134
5049,26137
5059,26145
5070,26136
5080,26127
5089,26143
5100,26135
5110,26140
5119,26136
5129,26136
5140,26142
5149,26142
5159,26142
5170,26124
5180,26131
5189,26151
5200,26138
5210,26153
5219,26139
5229,26146
5240,26156
5249,26152
5259,26150
5270,26138
5280,26148
5289,26152
5300,26151
5310,26154
5319,26144
5329,26151
5340,26153
5350,26149
5359,26156
5370,26139
5380,26146
5389,26148
5400,26142
5410,26154
5419,26140
5429,26151
5440,26144
5450,26135
5459,26146
5470,26131
5480,26146
5489,26147
5499,26136
5510,26143
5519,26135
5529,26148
5540,26139
5550,26140
5559,26150
5570,26143
5580,26150
5589,26139
5599,26143
5610,26147
5620,26147
5629,26153
5640,26150
5650,26149
5659,26149
5670,26149
5680,26157
5689,26151
5699,26157
5710,26160
5720,26157
5729,26164
5740,26147
5750,26157
5759,26158
5770,26158
5780,26166
5789,26152
5799,26152
5810,26151
5820,26162
5829,26161
5840,26154
5850,26166
5859,26165
5869,26153
5880,26165
5890,26163
5899,26167
5910,26161
5920,26162
5929,26166
5940,26157
5950,26165
5959,26156
5969,26162
5980,26162
5990,26161
5999,26170
6010,26168
6020,26163
6029,26169
6040,26165
6050,26165
6060,26166
6069,26159
6080,26174
6090,26156
6099,26153
6110,26151
6120,26151
6129,26145
6140,26150
6150,26158
6160,26149
6169,26151
6180,26161
6190,26160
6199,26166
6210,26147
6220,26169
6230,26161
6240,26164
6250,26170
6260,26161
6269,26168
6280,26172
6290,26164
6299,26175
6310,26168
6320,26175
6330,26167
6339,26177
6350,26181
6360,26172
6369,26181
6380,26176
6390,26173
6400,26189
6410,26170
6420,26179
6430,26180
6439,26173
6450,26182
6460,26175
6469,26183
6480,26173
6490,26173
6500,26192
6510,26183
6520,26181
6530,26174
6539,26185
6550,26179
6560,26185
6569,26182
6580,26173
6590,26174
6600,26185
6610,26183
6620,26180
6630,26170
6639,26184
6650,26186
6660,26184
6670,26188
6680,26170
6690,26176
6700,26181
6710,26165
6720,26162
6730,26144
6739,26142
6750,26138
6760,26134
6770,26139
6780,26137
6790,26139
6800,26137
6809,26149
6820,26156
6830,26152
6840,26160
6850,26161
6860,26164
6870,26158
6880,26165
6890,26173
6900,26157
6910,26172
6920,26166
6930,26171
6940,26166
6950,26149
6960,26165
6970,26170
6980,26168
6990,26175
7000,26150
7010,26165
7020,26166
7030,26166
7040,26171
7050,26157
7060,26160
7070,26159
7079,26160
7090,26164
7100,26159
7110,26171
7120,26163
7130,26158
7140,26167
7150,26162
7160,26164
7170,26160
7180,26160
7190,26166
7200,26165
7210,26165
7220,26157
7230,26170
7240,26172
7251,26170
7260,26175
7270,26169
7280,26173
7290,26175
7300,26172
7310,26167
7320,26142
7330,26128
7340,26121
7351,26106
7360,26106
7370,26101
7380,26098
7390,26099
7400,26105
7410,26117
7421,26119
7430,26124
7440,26125
7450,26128
7460,26132
7470,26124
7480,26136
7490,26124
7500,26134
7510,26141
7521,26128
7530,26143
7540,26132
7550,26141
7560,26148
7570,26142
7580,26147
7591,26136
7600,26138
7610,26138
7621,26139
7630,26141
7640,26134
7650,26132
7661,26144
7670,26146
7680,26140
7691,26135
7700,26147
7710,26146
7721,26139
7730,26153
7740,26144
7750,26147
7761,26145
7770,26146
7780,26155
7791,26134
7800,26147
7810,26144
7820,26145
7830,26156
7840,26145
7850,26150
7861,26142
7870,26145
7880,26151
7891,26150
7900,26156
7910,26142
7920,26149
7931,26134
7940,26128
7950,26119
7961,26093
7970,26081
7980,26087
7991,26076
8000,26085
8010,26078
8020,26091
8031,26101
8040,26107
8050,26120
8061,26115
8070,26129
8080,26126
8091,26120
8101,26130
8110,26127
8120,26122
8131,26138
8140,26137
8150,26145
8161,26142
8170,26143
8180,26147
8190,26137
8201,26150
8210,26137
8220,26145
8231,26134
8240,26140
8250,26143
8261,26132
8271,26138
8280,26135
8290,26140
8301,26141
8310,26134
8320,26139
8331,26138
8340,26137
8350,26145
8361,26138
8371,26148
8380,26150
8390,26145
8401,26156
8410,26135
8420,26146
8431,26137
8440,26148
8450,26147
8461,26136
8471,26147
8480,26132
8490,26138
8501,26150
8510,26141
8520,26157
8531,26142
8541,26138
8550,26148
8561,26140
8571,26150
8580,26128
8590,26129
8601,26119
8610,26107
8620,26096
8631,26080
8641,26086
8650,26087
8661,26092
8671,26104
8680,26092
8690,26097
8701,26117
8711,26114
8720,26122
8731,26115
8741,26127
8750,26128
8761,26123
8771,26125
8780,26128
8790,26133
8801,26125
8811,26118
8820,26135
8831,26131
8841,26130
8850,26131
8860,26127
8871,26129
8880,26120
8890,26129
8901,26124
8911,26128
8920,26131
8931,26121
8941,26126
8950,26129
8960,26132
8971,26140
8981,26124
8990,26133
9001,26128
9011,26129
9020,26139
9031,26124
9041,26136
9050,26131
9060,26133
9071,26139
9081,26134
9090,26135
9101,26129
9111,26139
9120,26143
9131,26137
9141,26142
9151,26132
9160,26142
9171,26140
9181,26132
9190,26142
9201,26127
9211,26136
9220,26140
9231,26134
9241,26145
9251,26140
9260,26134
9271,26135
9281,26130
9290,26123
9301,26111
9311,26109
9321,26096
9330,26086
9341,26091
9351,26081
9360,26095
9371,26089
9381,26096
9390,26106
9401,26099
9411,26106
9421,26105
9430,26109
9441,26125
9451,26117
9460,26116
9471,26111
9481,26119
9491,26120
9501,26116
9511,26126
9521,26113
9530,26121
9541,26124
9551,26120
9560,26122
9571,26112
9581,26126
9591,26124
9601,26127
9611,26126
9621,26123
9630,26136
9641,26132
9651,26129
9661,26147
9671,26133
9681,26150
9691,26143
9700,26140
9711,26148
9721,26141
9730,26149
9741,26142
9751,26147
9761,26153
9771,26146
9781,26152
9791,26141
9800,26143
9811,26147
9821,26138
9831,26142
9841,26130
9851,26126
9861,26145
9871,26135
9881,26136
9891,26131
9900,26139
9911,26142
9921,26131
9931,26137
9941,26132
9951,26139
9961,26148
9971,26149
9981,26146
9991,26127
10001,26136
10011,26133
10021,26125
10031,26118
10041,26097
10051,26091
10061,26092
10072,26089
10081,26090
10091,26085
10101,26105
10111,26109
10121,26119
10131,26123
10141,26109
10151,26127
10161,26115
10171,26118
10181,26128
10191,26117
10201,26123
10211,26121
10221,26118
10231,26130
10241,26118
10251,26123
10261,26123
10271,26121
10281,26126
10291,26117
10301,26122
10311,26106
10321,26119
10331,26126
10342,26112
10351,26118
10361,26115
10371,26123
10381,26128
10391,26123
10401,26122
10411,26108
10421,26126
10431,26125
10442,26119
10451,26121
10461,26110
10471,26121
10481,26116
10491,26120
10501,26125
10512,26108
10521,26113
10531,26127
10542,26116
10551,26121
10561,26114
10571,26119
10581,26118
10591,26113
10601,26117
10612,26118
10621,26120
10631,26113
10641,26118
10651,26124
10661,26116
10671,26126
10682,26106
10691,26116
10701,26131
10712,26113
10721,26122
10731,26112
10741,26100
10751,26102
10761,26098
10771,26104
10782,26098
10791,26103
10801,26111
10812,26105
10821,26110
10831,26112
10841,26101
10852,26118
10861,26115
10871,26118
10882,26108
10891,26117
10901,26114
10911,26113
10921,26117
10931,26110
10941,26119
10952,26108
10961,26120
10971,26125
10982,26122
10991,26126
11001,26108
11011,26119
11022,26121
11031,26115
11041,26129
11052,26117
11061,26125
11071,26134
11082,26120
11091,26128
11101,26122
11111,26122
11122,26127
11131,26118
11141,26126
11152,26121
11161,26128
11171,26142
11182,26135
11191,26133
11201,26125
11211,26134
11222,26130
11231,26125
11241,26124
11252,26122
11261,26119
11271,26127
11282,26109
11291,26116
11301,26102
11311,26114
11322,26112
11331,26105
11341,26105
11352,26095
11361,26105
11371,26108
11382,26100
11392,26095
11401,26091
11411,26088
11422,26093
11431,26086
11441,26095
11452,26080
11461,26088
11471,26088
11482,26077
11492,26081
11501,26081
11511,26080
11522,26086
11531,26078
11541,26087
11552,26088
11561,26085
11571,26086
11582,26077
11592,26091
11601,26085
11611,26086
11622,26093
11631,26080
11641,26089
11652,26096
11661,26100
11671,26106
11682,26113
11692,26107
11701,26107
11712,26105
11722,26108
11731,26098
11741,26109
11752,26107
11761,26111
11771,26125
11782,26108
11792,26107
11801,26117
11812,26104
11822,26112
11831,26119
11842,26114
11852,26117
11861,26111
11871,26112
11882,26114
11891,26110
11901,26122
11912,26111
11922,26114
11931,26117
11942,26109
11952,26116
11961,26112
11972,26115
11982,26114
11991,26104
12001,26100
12012,26091
12021,26072
12031,26071
12042,26060
12052,26051
12061,26047
12072,26032
12082,26048
12091,26054
12102,26048
12112,26060
12121,26064
12132,26064
12142,26081
12151,26076
12161,26086
12172,26102
12181,26103
12191,26114
12202,26124
12212,26117
12221,26114
12232,26104
12242,26102
12251,26097
12262,26081
12272,26081
12281,26081
12292,26069
12302,26068
12311,26077
12322,26070
12332,26069
12341,26065
12352,26065
12362,26073
12372,26070
12381,26076
12392,26076
12402,26079
12411,26088
12422,26079
12432,26089
12441,26091
12452,26084
12462,26104
12471,26112
12482,26112
12492,26114
12501,26119
12512,26115
12522,26120
12532,26112
12542,26100
12552,26102
12562,26088
12571,26096
12582,26096
12592,26088
12601,26093
12612,26085
12622,26084
12631,26086
12642,26063
12652,26062
12661,26064
12672,26040
12682,26052
12692,26047
12702,26050
12712,26051
12722,26041
12732,26049
12742,26061
12752,26060
12761,26065
12772,26068
12782,26061
12791,26077
12802,26066
12812,26075
12821,26091
12832,26074
12842,26080
12852,26089
12862,26083
12872,26089
12882,26090
12892,26088
12902,26085
12912,26082
12922,26082
12932,26083
12942,26084
12951,26083
12962,26095
12972,26095
12981,26102
12992,26084
13002,26087
13012,26096
13022,26089
13032,26093
13042,26096
13052,26078
13062,26085
13072,26088
13082,26084
13092,26089
13102,26085
13112,26086
13122,26080
13132,26078
13141,26084
13152,26089
13162,26082
13172,26096
13182,26096
13192,26097
13202,26102
13212,26099
13222,26104
13232,26106
13242,26089
13252,26100
13262,26090
13272,26074
13282,26073
13292,26059
13303,26061
13312,26069
13322,26060
13332,26061
13342,26073
13352,26062
13362,26073
13372,26080
13382,26084
13392,26091
13402,26093
13412,26090
13422,26101
13432,26090
13442,26095
13452,26102
13463,26093
13472,26100
13482,26096
13493,26095
13502,26103
13512,26091
13522,26095
13532,26092
13542,26084
13552,26086
13562,26095
13572,26087
13582,26082
13592,26084
13602,26080
13612,26092
13623,26084
13632,26089
13642,26088
13653,26089
13662,26093
13672,26086
13683,26082
13692,26098
13702,26079
13712,26093
13722,26083
13732,26078
13742,26090
13752,26088
13762,26079
13772,26092
13783,26081
13792,26080
13802,26085
13813,26081
13822,26082
13832,26090
13843,26083
13852,26089
13862,26085
13873,26082
13882,26091
13892,26073
13902,26073
13912,26072
13922,26059
13932,26054
13943,26055
13952,26052
13962,26049
13973,26044
13982,26057
13992,26056
14003,26049
14012,26059
14022,26061
14033,26066
14042,26073
14052,26073
14063,26064
14072,26080
14082,26071
14092,26074
14103,26086
14112,26075
14122,26085
14133,26079
14142,26082
14152,26093
14163,26073
14172,26075
14182,26083
14193,26070
14202,26076
14212,26079
14223,26083
14232,26085
14242,26080
14253,26079
14263,26090
14272,26082
14282,26095
14293,26101
14302,26102
14312,26104
14323,26102
14332,26108
14342,26110
14353,26099
14362,26106
14372,26112
14383,26097
14392,26108
14402,26109
14413,26111
14423,26111
14432,26110
14443,26110
14453,26110
14462,26105
14473,26108
14483,26116
14492,26102
14502,26103
14513,26112
14522,26101
14532,26117
14543,26111
14552,26111
14562,26119
14573,26102
14582,26098
14592,26102
14603,26079
14613,26076
14622,26074
14633,26056
14643,26067
14652,26071
14663,26065
14673,26069
14682,26067
14693,26069
14703,26086
14712,26076
14722,26090
14733,26102
14742,26088
14752,26089
14763,26096
14772,26090
14782,26096
14793,26089
14803,26092
14812,26102
14823,26080
14833,26090
14842,26094
14853,26084
14863,26092
14872,26092
14883,26079
14893,26088
14902,26086
14913,26081
14923,26088
14932,26083
14943,26085
14953,26084
14962,26081
14972,26082
14983,26081
14993,26079
15002,26093
15013,26084
15023,26092
15032,26086
15043,26084
15053,26084
15062,26088
15073,26080
15083,26086
15092,26090
15103,26079
15113,26079
15122,26087
15133,26076
15143,26087
15152,26090
15163,26077
15173,26086
15182,26089
15193,26075
15203,26089
15213,26080
15223,26085
15233,26093
15243,26082
15252,26081
15263,26080
15273,26066
15282,26067
15293,26063
15303,26054
15312,26059
15323,26058
15333,26056
15342,26061
15353,26060
15363,26069
15372,26078
15383,26065
15393,26083
15402,26082
15413,26079
15423,26075
15433,26080
15443,26075
15453,26087
15463,26075
15473,26079
15483,26081
15493,26072
15502,26080
15513,26086
15523,26083
15532,26090
15543,26086
15553,26084
15562,26075
15573,26070
15583,26065
15593,26078
15603,26062
15613,26076
15623,26075
15633,26067
15643,26075
15653,26065
15663,26066
15673,26067
15683,26068
15693,26071
15703,26081
15713,26070
15722,26074
15733,26080
15743,26067
15752,26077
15763,26077
15773,26083
15782,26082
15793,26082
15803,26087
15813,26092
15823,26087
15833,26084
15843,26097
15853,26087
15863,26094
15873,26110
15883,26090
15893,26102
15903,26096
15913,26086
15923,26081
15933,26060
15944,26053
15953,26050
15963,26038
15972,26040
15983,26052
15993,26046
16003,26053
16013,26058
16023,26064
16033,26069
16043,26071
16053,26076
16063,26076
16073,26071
16083,26083
16093,26090
16103,26083
16113,26094
16123,26099
16134,26108
16143,26108
16153,26107
16164,26105
16173,26110
16183,26106
16194,26106
16203,26111
16213,26096
16223,26111
16233,26115
16243,26108
16253,26110
16263,26124
16273,26110
16283,26123
16293,26117
16303,26125
16313,26129
16323,26118
16333,26129
16343,26134
16354,26125
16363,26131
16373,26142
16384,26137
16393,26136
16403,26152
16414,26139
16423,26147
16433,26162
16444,26158
16453,26176
16463,26164
16473,26183
16483,26188
16493,26183
16503,26198
16513,26201
16523,26211
16533,26209
16544,26217
16553,26232
16563,26238
16574,26228
16583,26233
16593,26231
16604,26212
