timestamp_ms,ir_value
4879,26495
4889,26488
4899,26486
4909,26507
4919,26512
4929,26534
4939,26538
4950,26550
4960,26565
4969,26576
4979,26578
4989,26577
4999,26585
5009,26591
5019,26606
5029,26614
5040,26606
5050,26622
5060,26631
5069,26638
5079,26633
5089,26632
5099,26632
5109,26638
5119,26637
5130,26635
5140,26631
5150,26626
5159,26631
5169,26631
5179,26626
5189,26628
5199,26630
5209,26641
5220,26642
5230,26634
5240,26640
5250,26655
5259,26653
5269,26646
5279,26644
5289,26651
5299,26663
5310,26662
5320,26657
5330,26662
5340,26669
5349,26673
5359,26678
5369,26662
5379,26663
5389,26670
5400,26673
5410,26664
5420,26668
5430,26669
5439,26677
5449,26675
5459,26680
5469,26681
5480,26674
5490,26661
5500,26642
5510,26607
5519,26587
5529,26553
5539,26532
5549,26510
5560,26500
5570,26502
5580,26514
5590,26534
5599,26548
5609,26559
5619,26557
5629,26573
5640,26584
5650,26587
5660,26584
5670,26590
5679,26594
5689,26599
5699,26598
5709,26602
5720,26617
5730,26620
5740,26617
5750,26619
5760,26631
5769,26627
5779,26627
5789,26631
5800,26626
5810,26635
5820,26633
5830,26631
5840,26622
5849,26637
5859,26628
5869,26621
5880,26629
5890,26622
5900,26626
5910,26627
5920,26624
5929,26625
5939,26621
5949,26623
5960,26621
5970,26626
5980,26621
5990,26617
6000,26617
6009,26614
6019,26608
6029,26600
6040,26603
6050,26601
6060,26603
6070,26589
6080,26592
6090,26584
6099,26584
6109,26573
6119,26565
6130,26573
6140,26564
6150,26573
6160,26561
6170,26559
6180,26570
6190,26559
6200,26561
6209,26553
6219,26535
6229,26519
6240,26516
6250,26514
6260,26526
6270,26535
6280,26540
6290,26550
6300,26567
6310,26556
6320,26576
6329,26582
6339,26576
6350,26574
6360,26582
6370,26580
6380,26578
6390,26574
6400,26568
6410,26570
6420,26571
6430,26572
6440,26580
6449,26573
6460,26570
6470,26559
6480,26569
6490,26557
6500,26563
6510,26562
6520,26549
6530,26542
6540,26547
6550,26551
6559,26554
6570,26559
6580,26561
6590,26557
6600,26573
6610,26575
6620,26585
6630,26584
6640,26578
6650,26576
6660,26573
6670,26574
6680,26571
6690,26575
6700,26574
6710,26579
6720,26583
6730,26589
6740,26592
6750,26580
6760,26576
6770,26585
6780,26582
6790,26579
6800,26583
6810,26588
6820,26593
6830,26599
6840,26602
6850,26591
6860,26598
6870,26602
6880,26592
6890,26579
6900,26552
6910,26546
6920,26525
6930,26500
6940,26464
6950,26437
6960,26440
6970,26448
6981,26459
6990,26479
7000,26482
7010,26494
7020,26502
7030,26518
7040,26531
7050,26526
7060,26532
7070,26544
7081,26552
7090,26557
7100,26558
7110,26555
7120,26554
7130,26545
7140,26554
7150,26563
7160,26548
7170,26555
7181,26545
7190,26539
7200,26546
7210,26543
7220,26540
7230,26536
7240,26552
7250,26556
7260,26554
7270,26557
7281,26557
7291,26574
7300,26567
7310,26573
7320,26565
7330,26577
7340,26580
7350,26586
7360,26591
7370,26582
7381,26590
7391,26588
7400,26588
7410,26604
7420,26598
7430,26599
7440,26606
7450,26616
7460,26620
7470,26610
7481,26613
7491,26614
7501,26610
7510,26619
7520,26613
7530,26595
7540,26602
7550,26602
7560,26601
7570,26581
7581,26559
7591,26533
7601,26510
7610,26477
7620,26451
7630,26426
7640,26438
7650,26439
7660,26451
7670,26465
7681,26473
7691,26496
7701,26508
7710,26512
7720,26523
7730,26529
7740,26523
7750,26529
7760,26536
7770,26548
7781,26542
7791,26536
7801,26550
7811,26550
7820,26559
7830,26551
7840,26554
7850,26557
7860,26561
7870,26562
7881,26556
7891,26550
7901,26552
7911,26546
7920,26556
7930,26563
7940,26568
7950,26589
7960,26589
7970,26601
7981,26617
7991,26619
8001,26629
8011,26641
8021,26659
8030,26677
8040,26678
8050,26670
8060,26687
8070,26694
8081,26702
8091,26702
8101,26702
8111,26710
8121,26709
8130,26717
8140,26715
8150,26717
8160,26737
8170,26735
8181,26749
8191,26744
8201,26742
8211,26751
8221,26745
8231,26751
8240,26763
8250,26751
8260,26747
8270,26736
8281,26703
8291,26649
8301,26578
8311,26516
8321,26464
8331,26439
8340,26424
8350,26416
8360,26413
8370,26426
8381,26431
8391,26440
8401,26457
8411,26456
8421,26481
8431,26487
8440,26501
8450,26501
8460,26501
8470,26506
8481,26514
8491,26521
8501,26536
8511,26542
8521,26551
8531,26564
8541,26575
8550,26584
8560,26585
8570,26575
8581,26588
8591,26586
8601,26591
8611,26593
8621,26594
8631,26599
8641,26598
8650,26603
8660,26612
8670,26613
8681,26618
8691,26618
8701,26619
8711,26633
8721,26628
8731,26635
8741,26644
8751,26647
8760,26656
8770,26649
8781,26643
8791,26651
8801,26659
8811,26664
8821,26664
8831,26658
8841,26662
8851,26668
8860,26660
8870,26671
8881,26665
8891,26674
8901,26675
8911,26676
8921,26679
8931,26678
8941,26682
8951,26687
8960,26689
8971,26689
8981,26683
8991,26684
9001,26675
9011,26649
9021,26621
9031,26560
9041,26512
9051,26468
9060,26445
9071,26421
9081,26404
9091,26412
9101,26416
9111,26440
9121,26461
9131,26476
9141,26497
9151,26515
9161,26524
9171,26537
9181,26536
9191,26551
9201,26547
9211,26563
9221,26569
9231,26559
9241,26581
9251,26577
9261,26579
9271,26577
9281,26569
9291,26577
9301,26575
9311,26576
9321,26572
9331,26566
9341,26573
9351,26573
9361,26576
9371,26582
9381,26574
9391,26590
9401,26583
9411,26591
9421,26597
9431,26596
9441,26604
9452,26603
9461,26605
9471,26601
9481,26611
9491,26608
9501,26610
9511,26611
9521,26597
9531,26610
9542,26605
9551,26602
9561,26602
9571,26611
9581,26609
9591,26612
9601,26619
9611,26613
9621,26614
9632,26619
9642,26617
9651,26620
9661,26635
9671,26614
9681,26630
9691,26641
9701,26649
9711,26637
9721,26624
9732,26613
9742,26583
9751,26558
9761,26512
9771,26475
9781,26448
9791,26445
9801,26439
9811,26439
9822,26447
9832,26457
9841,26489
9851,26506
9861,26517
9871,26544
9881,26544
9891,26563
9901,26569
9912,26561
9922,26574
9932,26576
9941,26584
9951,26595
9961,26581
9971,26587
9981,26589
9991,26588
10001,26588
10012,26573
10022,26575
10032,26580
10041,26576
10051,26568
10061,26571
10071,26569
10081,26590
10091,26586
10102,26592
10112,26592
10122,26597
10131,26602
10141,26607
10151,26604
10161,26596
10171,26605
10181,26612
10192,26614
10202,26610
10212,26612
10222,26609
10231,26616
10241,26616
10251,26617
10261,26609
10271,26621
10281,26627
10292,26631
10302,26631
10312,26637
10322,26636
10331,26642
10341,26643
10351,26641
10361,26643
10371,26644
10382,26636
10392,26608
10402,26580
10412,26556
10421,26524
10431,26483
10441,26454
10451,26448
10461,26442
10472,26458
10482,26469
10492,26484
10502,26503
10512,26533
10521,26536
10531,26540
10541,26547
10551,26560
10562,26570
10572,26580
10582,26586
10592,26595
10602,26593
10611,26606
10621,26605
10631,26595
10641,26602
10652,26606
10662,26612
10672,26603
10682,26603
10692,26601
10702,26603
10711,26600
10721,26593
10731,26585
10741,26595
10752,26598
10762,26600
10772,26599
10782,26605
10792,26604
10802,26609
10811,26634
10821,26611
10831,26617
10842,26613
10852,26625
10862,26623
10872,26618
10882,26618
10892,26617
10901,26625
10911,26629
10921,26626
10932,26636
