timestamp_ms,ir_value
4879,25288
4889,25284
4899,25288
4909,25283
4918,25277
4929,25278
4939,25272
4949,25281
4959,25280
4969,25293
4979,25283
4989,25292
4999,25295
5009,25288
5019,25276
5029,25272
5039,25257
5049,25240
5059,25237
5069,25247
5079,25243
5089,25243
5099,25237
5109,25234
5119,25246
5129,25240
5139,25250
5149,25240
5159,25252
5169,25257
5179,25259
5189,25259
5199,25253
5209,25263
5219,25272
5229,25269
5239,25280
5249,25265
5259,25286
5269,25283
5279,25301
5289,25307
5299,25306
5309,25311
5319,25317
5330,25311
5339,25317
5349,25305
5359,25304
5369,25299
5379,25296
5389,25302
5399,25290
5409,25275
5419,25277
5430,25277
5439,25276
5449,25283
5459,25288
5469,25288
5479,25295
5489,25297
5499,25300
5509,25293
5519,25300
5530,25293
5539,25302
5549,25304
5559,25300
5569,25308
5579,25304
5589,25310
5599,25307
5609,25293
5619,25300
5630,25303
5639,25313
5649,25319
5659,25318
5669,25321
5679,25330
5689,25343
5699,25354
5709,25363
5719,25365
5730,25378
5740,25386
5749,25391
5759,25381
5769,25358
5779,25352
5789,25334
5799,25325
5809,25318
5819,25312
5830,25307
5840,25295
5849,25309
5859,25317
5869,25315
5879,25328
5889,25326
5899,25336
5909,25335
5919,25328
5930,25330
5940,25336
5950,25340
5959,25342
5969,25341
5979,25338
5989,25348
5999,25343
6009,25356
6019,25355
6030,25346
6040,25352
6050,25358
6059,25364
6069,25364
6079,25359
6089,25381
6099,25385
6109,25390
6119,25389
6130,25396
6140,25406
6150,25418
6160,25429
6169,25436
6179,25442
6189,25450
6199,25458
6209,25468
6219,25464
6230,25462
6240,25454
6250,25453
6260,25463
6269,25462
6279,25465
6289,25458
6299,25460
6309,25462
6319,25455
6330,25457
6340,25444
6350,25441
6360,25441
6369,25438
6379,25424
6389,25421
6399,25418
6409,25404
6419,25398
6430,25396
6440,25395
6450,25388
6460,25386
6470,25394
6479,25387
6489,25390
6499,25385
6509,25388
6519,25390
6530,25398
6540,25388
6550,25382
6560,25382
6570,25388
6579,25386
6589,25397
6599,25394
6609,25405
6619,25403
6630,25412
6640,25415
6650,25403
6660,25404
6670,25404
6680,25407
6689,25409
6699,25398
6709,25395
6719,25395
6730,25402
6740,25397
6750,25390
6760,25388
6770,25380
6780,25384
6789,25396
6799,25383
6809,25381
6819,25391
6830,25387
6840,25394
6850,25386
6860,25383
6870,25396
6880,25391
6889,25392
6899,25397
6909,25383
6919,25395
6930,25388
6940,25394
6950,25388
6960,25390
6970,25385
6980,25397
6990,25397
6999,25402
7009,25402
7019,25393
7030,25395
7040,25385
7050,25381
7060,25361
7070,25354
7080,25348
7090,25331
7099,25343
7109,25339
7119,25332
7130,25347
7140,25345
7150,25364
7160,25363
7170,25355
7180,25359
7190,25358
7200,25353
7209,25354
7219,25347
7230,25344
7240,25343
7250,25344
7260,25360
7270,25354
7280,25349
7290,25359
7300,25352
7309,25362
7319,25355
7330,25353
7340,25358
7350,25353
7360,25360
7370,25358
7380,25360
7390,25360
7400,25356
7410,25361
7419,25368
7430,25367
7440,25368
7450,25366
7460,25383
7470,25376
7480,25372
7490,25374
7500,25377
7510,25382
7519,25381
7530,25378
7540,25369
7550,25363
7560,25373
7570,25377
7580,25373
7590,25362
7600,25375
7610,25374
7619,25376
7630,25379
7640,25373
7650,25377
7660,25371
7670,25365
7680,25364
7690,25341
7700,25349
7710,25339
7719,25338
7730,25334
7740,25339
7750,25341
7760,25338
7770,25353
7780,25358
7790,25355
7800,25359
7810,25362
7820,25366
7830,25375
7840,25372
7850,25373
7860,25382
7870,25380
7880,25388
7890,25381
7900,25375
7910,25386
7920,25389
7930,25391
7940,25394
7950,25381
7960,25392
7970,25402
7980,25409
7990,25403
8000,25393
8010,25400
8020,25393
8031,25401
8040,25401
8050,25387
8060,25394
8070,25391
8080,25401
8090,25390
8100,25400
8110,25393
8120,25397
8131,25402
8140,25401
8150,25400
8160,25404
8170,25407
8180,25405
8190,25405
8200,25404
8210,25400
8220,25409
8231,25400
8240,25402
8250,25399
8260,25394
8270,25404
8280,25407
8290,25403
8300,25416
8310,25398
8320,25410
8331,25396
8340,25401
8350,25387
8360,25377
8370,25358
8380,25362
8390,25370
8400,25368
8410,25363
8420,25361
8431,25375
8441,25381
8450,25390
8460,25380
8470,25378
8480,25390
8490,25396
8500,25401
8510,25398
8520,25392
8531,25408
