timestamp_ms,ir_value
4880,26357
4890,26349
4900,26349
4910,26359
4920,26361
4929,26363
4939,26366
4949,26355
4959,26361
4969,26366
4979,26366
4989,26375
5000,26371
5010,26364
5020,26372
5030,26371
5040,26373
5049,26369
5059,26361
5069,26319
5079,26310
5089,26285
5099,26256
5110,26247
5120,26239
5130,26218
5140,26227
5150,26222
5160,26236
5169,26247
5179,26253
5189,26262
5199,26270
5209,26280
5220,26281
5230,26292
5240,26301
5250,26298
5260,26305
5270,26309
5280,26313
5289,26314
5299,26314
5309,26301
5319,26314
5329,26300
5340,26310
5350,26308
5360,26302
5370,26299
5380,26305
5390,26310
5400,26314
5409,26314
5419,26316
5429,26304
5439,26315
5450,26314
5460,26314
5470,26323
5480,26322
5490,26318
5500,26324
5510,26327
5520,26332
5529,26339
5539,26338
5549,26335
5560,26344
5570,26338
5580,26347
5590,26348
5600,26340
5610,26337
5620,26346
5630,26339
5640,26344
5649,26350
5659,26344
5669,26330
5680,26312
5690,26292
5700,26265
5710,26244
5720,26214
5730,26193
5740,26198
5750,26193
5760,26209
5769,26218
5779,26222
5790,26234
5800,26241
5810,26247
5820,26263
5830,26262
5840,26276
5850,26263
5860,26285
5870,26283
5880,26283
5889,26289
5900,26293
5910,26285
5920,26291
5930,26287
5940,26287
5950,26290
5960,26287
5970,26269
5980,26275
5990,26276
6000,26283
6009,26282
6020,26275
6030,26274
6040,26274
6050,26279
6060,26287
6070,26297
6080,26294
6090,26289
6100,26296
6110,26294
6120,26299
6130,26296
6140,26291
6150,26296
6160,26297
6170,26303
6180,26309
6190,26314
6200,26317
6210,26308
6220,26319
6230,26309
6241,26320
6250,26314
6260,26315
6270,26309
6280,26318
6290,26312
6300,26308
6310,26303
6320,26275
6330,26251
6340,26235
6350,26208
6361,26191
6370,26189
6380,26182
6390,26174
6400,26187
6410,26199
6420,26205
6430,26222
6440,26229
6450,26229
6460,26238
6471,26248
6481,26250
6490,26259
6500,26264
6510,26255
6520,26270
6530,26279
6540,26270
6550,26273
6560,26269
6570,26261
6581,26269
6591,26259
6601,26255
6610,26254
6620,26252
6630,26260
6640,26254
6650,26253
6660,26259
6670,26264
6680,26253
6690,26258
6701,26260
6711,26263
6721,26267
6730,26272
6740,26269
6750,26265
6760,26272
6770,26264
6780,26276
6790,26279
6800,26280
6811,26272
6821,26283
6831,26280
6841,26288
6850,26291
6860,26287
6870,26284
6880,26290
6890,26288
6900,26296
6910,26303
6921,26296
6931,26286
6941,26284
6951,26279
6961,26253
6970,26226
6980,26210
6990,26178
7000,26166
7010,26163
7020,26160
7030,26163
7041,26164
7051,26162
7061,26182
7071,26185
7081,26202
7090,26214
7100,26225
7110,26224
7120,26240
7130,26236
7140,26247
7151,26254
7161,26255
7171,26260
7181,26258
7191,26264
7200,26270
7210,26271
7220,26259
7230,26260
7240,26255
7250,26260
7261,26259
7271,26264
7281,26249
7291,26260
7301,26256
7311,26264
7320,26265
7330,26260
7340,26256
7350,26267
7361,26262
7371,26270
7381,26268
7391,26256
7401,26264
7411,26267
7421,26273
7430,26280
7440,26278
7450,26269
7460,26277
7471,26269
7481,26281
7491,26286
7501,26278
7511,26273
7521,26290
7531,26285
7541,26290
7550,26289
7560,26296
7570,26292
7581,26299
7591,26290
7601,26276
7611,26259
7621,26229
7631,26211
7641,26196
7651,26187
7660,26167
7670,26159
7681,26165
7691,26177
7701,26182
7711,26197
7721,26200
7731,26209
7741,26216
7751,26224
7761,26236
7770,26236
7780,26246
7791,26243
7801,26252
7811,26253
7821,26267
7831,26267
7841,26263
7851,26254
7861,26262
7871,26257
7880,26257
7890,26257
7901,26239
7911,26250
7921,26245
7931,26250
7941,26264
7951,26251
7961,26253
7971,26256
7981,26257
7990,26265
8001,26262
8011,26264
8021,26265
8031,26261
8041,26270
8051,26271
8061,26275
8071,26271
8081,26276
8091,26277
8101,26284
8111,26290
8121,26282
8131,26285
8141,26293
8151,26286
8161,26288
8171,26292
8181,26290
8191,26295
8201,26292
8212,26296
8221,26299
8231,26284
8241,26273
8251,26248
8261,26235
8271,26220
8281,26198
8291,26172
8301,26173
8312,26156
8322,26170
8331,26172
8341,26175
8351,26182
8361,26197
8371,26200
8381,26212
8391,26224
8401,26218
8411,26220
8422,26235
8432,26249
8441,26246
8451,26244
8461,26248
8471,26255
8481,26262
8491,26260
8501,26263
8511,26247
8522,26252
8532,26249
8542,26245
8551,26249
8561,26239
8571,26235
8581,26244
8591,26250
8601,26253
8611,26255
8621,26247
8632,26258
8642,26250
8651,26258
8661,26261
8671,26261
8681,26260
8691,26261
8701,26271
8711,26265
8721,26265
8732,26259
8742,26266
8752,26272
8762,26275
8771,26270
8781,26269
8791,26274
8801,26275
8811,26287
8821,26284
8832,26282
8842,26272
8852,26284
8862,26281
8872,26289
8881,26280
8891,26273
8901,26249
8911,26231
8921,26220
8932,26199
8942,26185
8952,26165
8962,26162
8972,26164
8981,26167
8991,26175
9001,26172
9011,26183
9021,26192
9031,26198
9042,26210
9052,26209
9062,26208
9072,26223
9082,26218
9091,26230
9101,26232
9111,26232
9121,26238
9131,26236
9142,26246
9152,26243
9162,26232
9172,26232
9182,26229
9192,26228
9201,26225
9211,26221
9221,26215
9231,26223
9242,26224
9252,26223
9262,26239
9272,26233
9282,26230
9292,26232
9302,26239
9311,26240
9321,26246
9331,26231
9341,26247
9352,26244
9362,26249
9372,26255
9382,26245
9392,26247
9402,26249
9412,26253
9421,26259
9431,26258
9441,26252
9452,26253
9462,26254
9472,26263
9482,26263
9492,26258
9502,26257
9512,26262
9522,26262
9531,26255
9541,26235
9552,26212
9562,26189
9572,26185
9582,26162
9592,26158
9602,26150
9612,26157
9622,26155
9631,26167
9641,26160
9652,26169
9662,26183
9672,26193
9682,26198
9692,26209
9702,26205
9712,26216
9722,26213
9732,26222
9741,26230
9752,26233
9762,26226
9772,26219
9782,26231
9792,26233
9802,26226
9812,26225
9822,26224
9832,26219
9841,26223
9852,26211
9862,26207
9872,26212
9882,26217
9892,26212
