timestamp_ms,ir_value
4879,25786
4890,25786
4900,25794
4909,25797
4919,25796
4929,25784
4939,25794
4949,25795
4959,25797
4969,25804
4979,25789
4989,25790
5000,25794
5010,25792
5020,25796
5029,25796
5039,25790
5049,25768
5059,25768
5069,25760
5079,25751
5089,25746
5099,25739
5110,25728
5120,25737
5130,25733
5140,25731
5149,25741
5159,25746
5169,25738
5179,25744
5189,25738
5199,25745
5209,25748
5219,25748
5230,25740
5240,25750
5250,25744
5260,25754
5269,25760
5279,25758
5289,25747
5299,25751
5309,25750
5319,25750
5329,25765
5340,25770
5350,25750
5360,25754
5370,25758
5380,25756
5389,25762
5399,25756
5409,25751
5419,25757
5429,25756
5439,25762
5449,25767
5460,25769
5470,25752
5480,25762
5490,25760
5500,25768
5509,25763
5519,25758
5529,25747
5539,25762
5549,25756
5559,25764
5570,25768
5580,25764
5590,25754
5600,25765
5610,25763
5620,25765
5629,25763
5639,25761
5649,25740
5659,25751
5669,25736
5680,25739
5690,25731
5700,25729
5710,25705
5720,25711
5730,25695
5740,25692
5749,25698
5759,25698
5769,25694
5779,25705
5789,25705
5800,25708
5810,25712
5820,25714
5830,25704
5840,25716
5850,25713
5860,25716
5869,25716
5879,25719
5889,25712
5899,25721
5910,25716
5920,25722
5930,25729
5940,25730
5950,25724
5960,25727
5970,25722
5980,25725
5989,25728
5999,25727
6009,25721
6019,25719
6030,25719
6040,25724
6050,25727
6060,25729
6070,25725
6080,25727
6090,25731
6100,25735
6109,25737
6119,25731
6129,25730
6140,25727
6150,25730
6160,25733
6170,25740
6180,25738
6190,25736
6200,25725
6210,25735
6220,25739
6229,25734
6239,25737
6249,25734
6260,25726
6270,25727
6280,25732
6290,25724
6300,25718
6310,25699
6320,25691
6330,25689
6340,25679
6350,25680
6359,25678
6370,25676
6380,25672
6390,25681
6400,25680
6410,25682
6420,25688
6430,25683
6440,25682
6450,25687
6460,25688
6469,25693
6479,25695
6490,25683
6500,25692
6510,25691
6520,25698
6530,25697
6540,25701
6550,25697
6560,25693
6570,25696
6580,25708
6589,25708
6600,25704
6610,25696
6620,25692
6630,25695
6640,25698
6650,25699
6660,25701
6670,25697
6680,25702
6690,25706
6700,25707
6710,25705
6720,25704
6730,25695
6740,25701
6750,25701
6760,25710
6770,25713
6780,25711
6790,25701
6800,25718
6810,25714
6820,25713
6830,25716
6840,25716
6850,25709
6860,25713
6870,25715
6880,25721
6890,25713
6900,25715
6910,25702
6920,25706
6930,25690
6941,25684
6950,25682
6960,25683
6970,25653
6980,25660
6990,25655
7000,25663
7010,25660
7020,25666
7030,25662
7040,25667
7051,25666
7061,25673
7070,25676
7080,25681
7090,25665
7100,25671
7110,25668
7120,25681
7130,25676
7140,25678
7150,25680
7160,25681
7171,25682
7180,25683
7190,25682
7200,25676
7210,25677
7220,25683
7230,25677
7240,25683
7250,25683
7260,25684
7270,25671
7281,25683
7291,25676
7301,25679
7310,25681
7320,25678
7330,25680
7340,25686
7350,25682
7360,25695
7370,25689
7380,25688
7391,25681
7401,25691
7411,25680
7421,25690
7430,25697
7440,25685
7450,25683
7460,25693
7470,25690
7480,25691
7490,25701
7500,25704
7511,25696
7521,25706
7531,25699
7541,25703
7550,25714
7560,25703
7570,25694
7580,25697
7590,25683
7600,25681
7610,25678
7621,25670
7631,25648
7641,25647
7651,25647
7660,25641
7670,25642
7680,25639
7690,25637
7700,25645
7710,25650
7720,25650
7730,25656
7741,25647
7751,25643
7761,25652
7771,25648
7781,25650
7790,25660
7800,25649
7810,25653
7820,25661
7830,25653
7840,25655
7851,25669
7861,25664
7871,25660
7881,25668
7891,25656
7901,25665
7910,25668
7920,25664
7930,25659
7940,25662
7950,25660
7961,25664
7971,25668
7981,25669
7991,25667
8001,25668
8011,25677
8020,25676
8030,25676
8040,25668
8050,25670
8060,25680
8070,25682
8081,25679
8091,25688
8101,25676
8111,25679
8121,25681
8131,25691
8140,25688
8150,25686
8160,25692
8170,25685
8180,25692
8191,25696
8201,25709
8211,25712
8221,25723
8231,25734
8241,25757
8251,25753
8260,25776
8270,25773
