timestamp_ms,ir_value
4879,26053
4889,26038
4899,26027
4909,26038
4919,26041
4929,26041
4939,26047
4949,26033
4960,26052
4970,26054
4979,26055
4989,26060
4999,26055
5009,26063
5019,26063
5029,26066
5039,26068
5049,26069
5060,26070
5070,26070
5079,26070
5089,26074
5099,26072
5109,26070
5119,26066
5129,26072
5139,26069
5149,26065
5160,26063
5170,26067
5180,26064
5189,26072
5199,26070
5209,26059
5219,26074
5229,26065
5239,26065
5249,26074
5260,26064
5270,26070
5280,26070
5289,26075
5299,26082
5309,26065
5319,26068
5329,26057
5339,26066
5349,26066
5360,26066
5370,26067
5380,26060
5390,26067
5399,26064
5409,26069
5419,26065
5429,26068
5439,26067
5449,26069
5460,26066
5470,26059
5480,26051
5490,26048
5499,26028
5509,26019
5519,25989
5529,25994
5539,25983
5549,25997
5560,25986
5570,25987
5580,26001
5590,25996
5600,26009
5609,26017
5619,26010
5629,26009
5639,26015
5649,26018
5660,26023
5670,26024
5680,26023
5690,26027
5700,26032
5709,26028
5719,26033
5729,26025
5739,26035
5749,26032
5760,26036
5770,26036
5780,26033
5790,26037
5800,26026
5810,26036
5819,26036
5829,26016
5839,26026
5849,26023
5860,26029
5870,26036
5880,26021
5890,26028
5900,26026
5910,26028
5919,26031
5929,26023
5939,26020
5949,26028
5960,26025
5970,26025
5980,26034
5990,26023
6000,26034
6010,26031
6019,26036
6029,26039
6039,26031
6049,26027
6060,26035
6070,26037
6080,26047
6090,26040
6100,26028
6110,26028
6120,26036
6129,26032
6139,26024
6149,25997
6160,25993
6170,25984
6180,25983
6190,25961
6200,25951
6210,25970
6220,25957
6229,25968
6239,25975
6249,25974
6260,25976
6270,25989
6280,25989
6290,25991
6300,25990
6310,25996
6320,25987
6330,25994
6339,26002
6349,26002
6360,25998
6370,26007
6380,26003
6390,26006
6400,25999
6410,25997
6420,25999
6430,25999
6439,25997
6449,25997
6460,25989
6470,25989
6480,25989
6490,26001
6500,26000
6510,25991
6520,25997
6530,25993
6540,26009
6549,26003
6560,25996
6570,25996
6580,26004
6590,26012
6600,26004
6610,26004
6620,26002
6630,26001
6640,26009
6649,26009
6660,26008
6670,26005
6680,26002
6690,26020
6700,26012
6710,26010
6720,26004
6730,26004
6740,26014
6749,26011
6760,26019
6770,26010
6780,26011
6790,26012
6800,26013
6810,26011
6820,26000
6830,26007
6840,25993
6850,25987
6860,25971
6870,25957
6880,25939
6890,25939
6900,25934
6910,25943
6920,25950
6930,25940
6940,25953
6950,25962
6960,25967
6970,25968
6980,25964
6990,25971
7000,25977
7010,25983
7020,25978
7030,25973
7040,25986
7050,25986
7061,25983
7070,25990
7080,25990
7090,25986
7100,25985
7110,25983
7120,25987
7130,25979
7140,25968
7150,25971
7161,25964
7170,25970
7180,25968
7190,25961
7200,25972
7210,25962
7220,25973
