timestamp_ms,ir_value
4880,26466
4889,26472
4899,26479
4909,26477
4919,26506
4929,26499
4939,26515
4949,26528
4960,26528
4970,26519
4980,26527
4990,26526
5000,26532
5009,26539
5019,26542
5029,26531
5039,26540
5049,26547
5059,26563
5069,26554
5080,26560
5090,26564
5100,26567
5110,26573
5120,26582
5129,26561
5139,26522
5149,26433
5159,26313
5169,26214
5179,26151
5190,26121
5200,26101
5210,26089
5220,26102
5230,26115
5240,26134
5249,26159
5259,26177
5269,26202
5279,26230
5289,26250
5300,26282
5310,26284
5320,26295
5330,26305
5340,26314
5350,26332
5360,26354
5369,26385
5379,26398
5389,26406
5399,26419
5409,26426
5420,26433
5430,26445
5440,26439
5450,26434
5460,26430
5470,26425
5480,26425
5489,26424
5499,26426
5509,26421
5519,26436
5530,26443
5540,26458
5550,26468
5560,26489
5570,26485
5580,26501
5590,26510
5600,26521
5609,26535
5619,26534
5629,26531
5640,26548
5650,26554
5660,26562
5670,26566
5680,26557
5690,26574
5700,26577
5710,26585
5719,26581
5729,26584
5739,26580
5749,26584
5760,26586
5770,26602
5780,26605
5790,26609
5800,26612
5810,26609
5820,26611
5830,26614
5839,26617
5849,26617
5859,26613
5870,26620
5880,26613
5890,26573
5900,26502
5910,26403
5920,26304
5930,26238
5940,26193
5950,26188
5959,26181
5969,26183
5980,26194
5990,26223
6000,26245
6010,26283
6020,26320
6030,26347
6040,26366
6050,26402
6060,26413
6070,26423
6079,26438
6089,26457
6100,26454
6110,26466
6120,26472
6130,26495
6140,26503
6150,26507
6160,26502
6170,26516
6180,26519
6190,26512
6199,26512
6210,26508
6220,26512
6230,26505
6240,26504
6250,26507
6260,26502
6270,26507
6280,26512
6290,26522
6300,26527
6310,26548
6320,26556
6330,26555
6340,26563
6350,26580
6360,26575
6370,26595
6380,26600
6390,26599
6400,26594
6410,26606
6420,26613
6430,26612
6440,26618
6450,26619
6460,26620
6470,26629
6480,26625
6490,26629
6500,26635
6510,26629
6520,26629
6530,26634
6540,26631
6551,26642
6560,26639
6570,26642
6580,26640
6590,26649
6600,26649
6610,26652
6620,26639
6630,26587
6640,26514
6650,26432
6661,26344
6671,26299
6680,26268
6690,26244
6700,26247
6710,26260
6720,26285
6730,26301
6740,26337
6750,26354
6760,26386
6770,26423
6781,26445
6790,26469
6800,26493
6810,26499
6820,26513
6830,26536
6840,26547
6850,26559
6860,26570
6870,26574
6880,26569
6891,26582
6901,26580
6911,26579
6920,26585
6930,26580
6940,26573
6950,26572
6960,26563
6970,26569
6980,26574
6990,26565
7001,26570
7011,26573
7021,26581
7030,26594
7040,26604
7050,26599
7060,26603
7070,26608
7080,26614
7090,26619
7100,26628
7110,26621
7121,26622
7131,26628
7141,26635
7150,26634
7160,26639
7170,26636
7180,26638
7190,26639
7200,26649
7210,26650
7220,26655
7231,26654
7241,26651
7251,26651
7261,26650
7270,26654
7280,26658
7290,26658
7300,26658
7310,26669
7320,26666
7330,26656
7341,26631
7351,26599
7361,26528
7371,26461
7381,26382
7390,26340
7400,26315
7410,26303
7420,26298
7430,26313
7440,26338
7450,26362
7461,26391
7471,26419
7481,26450
7491,26469
7501,26499
7510,26520
7520,26534
7530,26540
7540,26551
7550,26569
7560,26580
7571,26589
7581,26601
7591,26600
7601,26604
7611,26611
7621,26607
7631,26611
7640,26609
7650,26601
7660,26605
7670,26598
7681,26595
7691,26605
7701,26602
7711,26600
7721,26599
7731,26599
7741,26604
7751,26609
7760,26621
7770,26624
7780,26636
7790,26637
7801,26641
7811,26652
7821,26654
7831,26657
7841,26661
7851,26664
7861,26666
7870,26667
7880,26673
7890,26666
7900,26670
7911,26680
7921,26682
7931,26691
7941,26693
7951,26688
7961,26684
7971,26685
7981,26691
7990,26701
8000,26702
8010,26705
8020,26691
8031,26681
8041,26655
8051,26595
8061,26519
8071,26434
8081,26388
8091,26356
8101,26334
8110,26338
8120,26346
8130,26351
8141,26365
8151,26395
8161,26418
8171,26453
8181,26478
8191,26506
8201,26520
8211,26543
8221,26552
8231,26572
8240,26590
8251,26595
8261,26610
8271,26627
8281,26626
8291,26639
8301,26646
8311,26648
8321,26644
8331,26647
8341,26649
8351,26640
8360,26640
8371,26626
8381,26621
8391,26631
8401,26628
8411,26635
8421,26647
8431,26640
8441,26636
8451,26654
8461,26662
8471,26674
8481,26679
8491,26680
8501,26682
8511,26684
8521,26693
8531,26704
8541,26703
8551,26708
8561,26710
8571,26714
8581,26712
8592,26721
8601,26733
8611,26725
8621,26718
8631,26729
8641,26720
8651,26726
8661,26727
8671,26723
8681,26714
8691,26707
8701,26685
8712,26635
8721,26565
8731,26482
8741,26425
8751,26399
8761,26379
8771,26376
8781,26383
8791,26392
8801,26401
8811,26432
8822,26451
8832,26476
8841,26503
8851,26523
8861,26540
8871,26564
8881,26578
8891,26591
8901,26616
8911,26620
8921,26629
8932,26640
8942,26645
8951,26656
8961,26663
8971,26661
8981,26655
8991,26663
9001,26662
9011,26659
9021,26652
9031,26639
9041,26642
9052,26637
9062,26641
9071,26643
9081,26652
9091,26647
9101,26661
9111,26667
9121,26667
9131,26676
9141,26677
9151,26675
9162,26686
9172,26681
9182,26689
9191,26689
9201,26695
9211,26690
9221,26701
9231,26695
9241,26705
