timestamp_ms,ir_value
4886,26907
4896,26907
4905,26916
4915,26912
4925,26907
4936,26917
4946,26919
4956,26953
4966,26956
4976,26953
4986,26973
4996,26970
5006,26986
5015,26993
5025,26987
5035,26985
5046,26995
5056,26984
5066,26982
5076,26978
5086,26969
5096,26979
5106,26986
5115,26995
5125,26993
5135,26984
5145,26967
5156,26964
5166,26955
5176,26938
5186,26934
5196,26908
5206,26898
5216,26881
5226,26849
5235,26828
5245,26810
5255,26800
5265,26801
5276,26800
5286,26812
5296,26826
5306,26839
5316,26866
5326,26882
5335,26916
5345,26927
5355,26946
5365,26951
5375,26955
5386,26958
5396,26956
5406,26948
5416,26948
5426,26952
5436,26957
5445,26949
5455,26932
5465,26917
5475,26914
5485,26893
5496,26894
5506,26885
5516,26879
5526,26889
5536,26885
5546,26889
5555,26880
5565,26874
5575,26854
5585,26843
5595,26835
5606,26820
5616,26811
5626,26804
5636,26800
5646,26789
5655,26790
5665,26790
5675,26769
5685,26757
5695,26756
5705,26746
5716,26745
5726,26735
5736,26724
5746,26727
5756,26716
5766,26726
5775,26728
5785,26735
5795,26746
5805,26748
5815,26761
5826,26772
5836,26783
5846,26778
5856,26787
5866,26787
5876,26796
5885,26784
5895,26763
5905,26735
5915,26715
5925,26698
5935,26679
5946,26666
5956,26652
5966,26649
5976,26654
5986,26652
5995,26660
6005,26667
6015,26677
6025,26703
6035,26718
6045,26745
6056,26771
6066,26786
6076,26826
6086,26859
6095,26890
6105,26922
6115,26933
6125,26939
6135,26937
6145,26928
6155,26911
6166,26881
6176,26861
6186,26843
6196,26830
6205,26805
6215,26777
6225,26749
6235,26744
6245,26726
6255,26720
6265,26716
6276,26709
6286,26708
6296,26719
6306,26736
6315,26750
6325,26763
6335,26766
6345,26803
6355,26821
6365,26850
6375,26876
6386,26912
6396,26948
6406,26991
6416,27030
6425,27070
6435,27109
6445,27124
6455,27144
6465,27144
6475,27135
6485,27119
6496,27103
6506,27093
6516,27082
6526,27082
6535,27088
6545,27092
6555,27085
6565,27095
6575,27104
6585,27112
6595,27111
6606,27092
6616,27059
6626,27002
6635,26954
6645,26904
6655,26849
6665,26809
6675,26798
6685,26783
6695,26777
6705,26779
6716,26811
6726,26874
6736,26911
6745,26909
6755,26895
6765,26909
6775,26963
6785,27024
6795,27057
6805,27059
6815,27059
6826,27058
6836,27037
6846,26988
6855,26935
6865,26872
6875,26793
6885,26742
6895,26690
6905,26667
6915,26632
6925,26602
6935,26567
6946,26553
6956,26530
6965,26523
6975,26516
6985,26509
6995,26518
7005,26541
7015,26559
7025,26580
7035,26591
7045,26595
7056,26606
7066,26602
7076,26603
7085,26615
7095,26616
7105,26636
7115,26660
7125,26672
7135,26670
7145,26673
7155,26679
7165,26671
7176,26678
7186,26685
7195,26693
7205,26703
7215,26702
7225,26712
7235,26729
7245,26742
7255,26759
7265,26762
7275,26767
7286,26766
7296,26775
7305,26765
7315,26755
7325,26740
7335,26723
7345,26715
7355,26697
7365,26677
7375,26646
7385,26633
7395,26615
7406,26602
7415,26589
7425,26591
7435,26579
7445,26591
7455,26594
7465,26605
7475,26615
7485,26626
7495,26640
7505,26662
7516,26684
7525,26702
7535,26707
7545,26704
7555,26718
7565,26705
7575,26700
7585,26682
7595,26662
7605,26638
7615,26624
7626,26608
7635,26586
7645,26569
7655,26553
7665,26545
7675,26527
7685,26511
7695,26507
7705,26487
7715,26488
7725,26481
7736,26491
7745,26484
7755,26489
7765,26485
7775,26505
7785,26527
7795,26546
7805,26582
7815,26595
7825,26617
7835,26621
7846,26634
7855,26611
7865,26592
7875,26569
7885,26549
7895,26531
7905,26539
7915,26552
7925,26562
7935,26576
7945,26594
7955,26633
7965,26670
7975,26704
7985,26723
7995,26740
8005,26770
8015,26786
8025,26810
8035,26816
8045,26833
8055,26843
8065,26852
8075,26863
8085,26863
8095,26848
8105,26865
8115,26855
8125,26848
8135,26844
8145,26813
8155,26802
8165,26777
8175,26733
8185,26681
8195,26611
8205,26549
8215,26515
8225,26497
8235,26489
8245,26470
8255,26457
8265,26472
8275,26461
8285,26462
8295,26477
8305,26473
8315,26481
8325,26482
8335,26494
8345,26501
8355,26481
8365,26455
8375,26438
8385,26424
8395,26420
8404,26409
8415,26403
8425,26392
8435,26391
8445,26393
8455,26396
8465,26383
8475,26377
8485,26361
8495,26361
8505,26365
8514,26362
8525,26360
8535,26351
8545,26355
8555,26354
8565,26351
8575,26351
8585,26342
8595,26338
8605,26347
8615,26355
8624,26369
8634,26381
8645,26400
8655,26412
8665,26441
8675,26450
8685,26469
8695,26472
8705,26466
8715,26473
8725,26465
8734,26473
8744,26476
8755,26471
8765,26471
8775,26488
8785,26496
8795,26505
8805,26511
8815,26512
8825,26535
8835,26538
8844,26544
8854,26553
8865,26550
8875,26566
8885,26586
8895,26618
8905,26643
8915,26678
8925,26722
8935,26764
8945,26793
8954,26817
8964,26816
8974,26774
8985,26714
8995,26657
9005,26619
9015,26578
9025,26555
9035,26517
9045,26503
9055,26481
9065,26468
9074,26467
9084,26456
9095,26458
9105,26463
9115,26469
9125,26480
9135,26481
9145,26485
9155,26494
9165,26512
9174,26526
9184,26556
9194,26560
9205,26565
9215,26571
9225,26576
9235,26564
9245,26549
9255,26527
9265,26526
9275,26508
9284,26503
9294,26490
9304,26477
9315,26479
9325,26481
9335,26490
9345,26495
9355,26500
9365,26504
9375,26524
9385,26540
9394,26561
9404,26580
9414,26589
9424,26612
9435,26627
9445,26650
9455,26669
9465,26663
9475,26672
9485,26688
9495,26688
9504,26701
9514,26708
9524,26695
9534,26710
9545,26719
9555,26734
9565,26738
9575,26733
9585,26725
9595,26729
9605,26719
9614,26716
9624,26703
9634,26692
9644,26696
9655,26700
9665,26694
9675,26699
9685,26685
9695,26679
9705,26656
9715,26620
9724,26583
9734,26540
9744,26504
9754,26484
9765,26473
9775,26450
9785,26454
9795,26444
9805,26431
9815,26437
9825,26442
9834,26447
9844,26469
9854,26467
9864,26495
9875,26512
9885,26515
9895,26543
9905,26554
9915,26569
9925,26602
9935,26648
9944,26671
9954,26706
9964,26715
9974,26748
9985,26763
9995,26777
10005,26795
10015,26781
10025,26773
10035,26775
10045,26776
10054,26777
10064,26779
10074,26764
10084,26772
10094,26764
10105,26768
10115,26769
10125,26767
10135,26771
10145,26786
10155,26830
10164,26864
10174,26934
10184,26990
10194,27040
10204,27057
10215,27069
10225,27060
10235,27044
10245,27039
10255,27041
10265,27036
10274,27030
10284,27027
10294,27021
10304,27037
10314,27052
10325,27074
10335,27101
10345,27100
10355,27117
10365,27122
10375,27125
10384,27121
10394,27104
10404,27050
10414,26994
10424,26929
10435,26858
10445,26807
10455,26771
10465,26729
10475,26707
10485,26673
10494,26651
10504,26622
10514,26593
10524,26598
10534,26590
10545,26574
10555,26575
10565,26577
10575,26576
10585,26581
10595,26594
10604,26607
10614,26626
10624,26630
10634,26651
10644,26653
10655,26638
10665,26626
10675,26598
10685,26594
10695,26589
10705,26579
10714,26584
10724,26584
10734,26613
10744,26626
10754,26654
10765,26670
10775,26672
10785,26669
10795,26678
10805,26685
10814,26681
10824,26684
10834,26676
10844,26671
10854,26671
10864,26674
10874,26670
10885,26666
10895,26642
10905,26641
10915,26638
10924,26633
10934,26623
10944,26611
10954,26612
10964,26597
10974,26593
10984,26592
10995,26572
11005,26562
11015,26563
11025,26553
11034,26561
11044,26562
11054,26547
11064,26550
11074,26546
11084,26538
11094,26522
11105,26503
11115,26482
11125,26478
11135,26465
11144,26458
11154,26430
11164,26413
11174,26422
11184,26449
11194,26496
11204,26551
11215,26600
11225,26646
11235,26679
11245,26704
11254,26714
11264,26727
11274,26713
11284,26730
11294,26706
11304,26710
11314,26704
11325,26702
11335,26714
11345,26727
11355,26730
11364,26739
11374,26719
11384,26689
11394,26680
11404,26671
11414,26668
11424,26673
11435,26687
11445,26698
11455,26712
11465,26727
11474,26736
11484,26741
11494,26741
11504,26748
11514,26751
11524,26759
11534,26773
11545,26786
11555,26790
11565,26808
11575,26824
11584,26845
11594,26882
11604,26930
11614,26997
11624,27054
11634,27117
11644,27171
11655,27198
11665,27229
11675,27248
11684,27255
11694,27253
11704,27226
11714,27189
11724,27145
11734,27087
11744,27024
11754,26971
11765,26928
11775,26909
11785,26909
11794,26906
11804,26902
11814,26903
11824,26902
11834,26911
11844,26964
11854,27024
11864,27090
11875,27147
11885,27190
11894,27228
11904,27244
11914,27251
11924,27251
11934,27257
11944,27243
11954,27219
11964,27187
11974,27151
11985,27129
11995,27129
12004,27120
12014,27121
12024,27119
12034,27125
12044,27112
12054,27102
12064,27091
12074,27078
12085,27075
12095,27064
12105,27041
12114,27035
12124,27023
12134,27012
12144,27029
12154,27047
12164,27055
12174,27064
12184,27067
12195,27074
12205,27088
12214,27102
12224,27098
12234,27098
12244,27111
12254,27099
12264,27132
12274,27161
12284,27187
12294,27225
12305,27266
12314,27296
12324,27328
12334,27323
12344,27314
12354,27286
12364,27241
12374,27177
12384,27096
12394,27047
12405,27033
12415,27032
12424,27033
12434,27034
12444,27044
12454,27048
12464,27069
12474,27079
12484,27098
12495,27115
12504,27131
12514,27131
12524,27165
12534,27181
12544,27215
12554,27227
12565,27261
12574,27281
12584,27285
12594,27288
12604,27287
12614,27270
12624,27245
12635,27208
12644,27185
12654,27130
12664,27090
12674,27065
12684,27058
12694,27060
12704,27082
12715,27096
12724,27115
12734,27131
12744,27139
12754,27172
12764,27184
12774,27184
12785,27197
12794,27198
12804,27198
12814,27180
12824,27180
12834,27157
12844,27119
12854,27090
12865,27048
12874,27008
12884,26964
12894,26940
12904,26915
12914,26897
12924,26895
12934,26917
12944,26912
12954,26925
12964,26926
12974,26934
12984,26926
12994,26917
13004,26927
13014,26935
13024,26933
13034,26921
13044,26890
13054,26863
13064,26830
13074,26795
13084,26768
13094,26744
13104,26739
13114,26748
13124,26766
13134,26772
13144,26796
13154,26820
13164,26857
13174,26885
13184,26909
13194,26943
13204,26972
13214,26989
13224,27027
13234,27070
13244,27085
13254,27087
