timestamp_ms,ir_value
4886,26177
4896,26179
4907,26168
4916,26170
4926,26157
4936,26161
4946,26155
4957,26157
4966,26170
4976,26180
4986,26200
4996,26186
5006,26195
5016,26202
5026,26183
5036,26176
5047,26159
5056,26130
5066,26107
5076,26101
5086,26089
5097,26086
5106,26090
5116,26080
5126,26104
5136,26106
5147,26093
5156,26090
5166,26072
5176,26070
5186,26070
5197,26077
5206,26089
5216,26097
5226,26117
5237,26124
5246,26128
5256,26108
5266,26085
5277,26059
5286,26051
5296,26033
5306,26018
5316,26000
5326,25998
5336,25987
5346,25995
5356,25990
5367,25991
5376,26005
5386,26001
5396,26028
5406,26083
5416,26162
5426,26258
5436,26620
5446,23085
5456,19264
5466,10036
5476,5142
5486,3008
5496,2239
5506,2053
5516,1992
5526,1893
5536,1805
5546,1731
5556,1681
5566,1666
5576,1712
5586,1763
5596,1813
5606,1868
5616,1926
5626,1986
5636,2067
5646,2224
5656,2490
5666,2908
5676,3474
5686,4133
5696,4805
5706,5500
5716,6274
5726,7211
5736,8417
5745,9722
5756,10854
5766,11844
5776,13065
5786,14787
5796,16812
5806,18999
5816,21333
5826,23230
5836,24180
5846,24519
5856,24379
5866,23888
5876,23138
5885,22352
5896,21782
5906,21229
5916,20511
5926,19872
5936,19749
5946,19997
5956,20262
5966,20681
5976,21308
5986,21710
5996,22327
6006,22958
6015,23426
6025,23728
6036,23915
6046,24052
6056,24205
6066,24339
6076,24460
6086,24539
6096,24617
6106,24675
6116,24734
6126,24780
6136,24846
6146,24904
6155,24945
6165,24981
6176,24997
6186,25032
6196,25063
6206,25083
6216,25114
6226,25111
6236,25117
6246,25112
6256,25126
6266,25107
6276,25105
6285,25097
6295,25091
6305,25073
6316,25064
6326,25061
6336,25054
6346,25065
6356,25075
6366,25080
6376,25091
6386,25095
6396,25117
6406,25141
6416,25169
6425,25181
6435,25200
6445,25215
6456,25218
6466,25218
6476,25230
6486,25241
6496,25234
6506,25235
6516,25247
6526,25253
6535,25261
6545,25258
6556,25268
6566,25286
6576,25284
6586,25305
6596,25316
6606,25323
6616,25328
6625,25343
6635,25354
6645,25342
6656,25353
6666,25338
6676,25325
6686,25300
6696,25263
6706,25250
6716,25219
6725,25206
6735,25177
6745,25151
6756,25134
6766,25128
6776,25110
6786,25094
6796,25090
6806,25095
6816,25100
6825,25111
6835,25108
6845,25122
6856,25126
6866,25140
6876,25158
6886,25154
6896,25171
6906,25189
6915,25189
6925,25195
6935,25195
6946,25214
6956,25215
6966,25217
6976,25211
6986,25209
6996,25209
7005,25214
7015,25211
7025,25195
7035,25203
7046,25206
7056,25213
7066,25214
7076,25216
7086,25239
7096,25240
7105,25250
7115,25259
7125,25260
7135,25282
7146,25295
7156,25305
7166,25297
7176,25302
7186,25311
7196,25310
7205,25307
7215,25313
7225,25318
7235,25324
7245,25323
7256,25318
7266,25317
7276,25312
7286,25318
7296,25306
7306,25309
7316,25309
7326,25318
7335,25321
7345,25322
7355,25311
7365,25309
7375,25308
7385,25297
7396,25284
7406,25268
7416,25234
7426,25194
7436,25153
7446,25111
7456,25081
7466,25042
7475,25021
7485,25004
7495,24963
7505,24953
7515,24949
7525,24946
7536,24935
7546,24947
7556,24941
7566,24938
7576,24951
7586,24959
7596,24973
7605,24980
7615,24992
7625,25000
7635,25005
7645,25024
7655,25034
7665,25038
7676,25051
7686,25046
7696,25037
7706,25041
7716,25034
7726,25040
7735,25031
7745,25030
7755,25024
7765,25023
7775,25026
7785,25025
7795,25019
7806,25032
7816,25044
7826,25033
7836,25041
7846,25061
7856,25061
7866,25079
7875,25087
7885,25094
7895,25104
7905,25107
7915,25116
7925,25124
7935,25133
7946,25138
7956,25135
7966,25141
7976,25147
7986,25131
7996,25138
8005,25139
8015,25132
8025,25134
8035,25146
8045,25142
8055,25157
8065,25169
8076,25183
8086,25170
8096,25162
8106,25166
8116,25153
8126,25135
8136,25106
8145,25077
8155,25038
8165,25006
8175,24986
8185,24959
8195,24951
8205,24939
8216,24936
8226,24922
8236,24931
8246,24938
8256,24941
8265,24955
8275,24968
8285,24968
8295,24976
8305,24987
8315,25000
8326,25001
8336,25002
8346,25017
8356,25032
8365,25038
8375,25038
8385,25047
8395,25037
8405,25045
8415,25047
8425,25054
8436,25041
8446,25030
8456,25038
8466,25035
8476,25036
8485,25033
8495,25023
8505,25013
8515,25026
8525,25025
8535,25024
8545,25038
8555,25045
8566,25038
8576,25038
8586,25043
8596,25057
8606,25056
8615,25064
8625,25063
8635,25058
8645,25080
8655,25075
8665,25093
8675,25108
8685,25108
8696,25118
8706,25116
8716,25122
8726,25119
8736,25144
8745,25139
8755,25140
8765,25142
8775,25134
8785,25133
8795,25111
8805,25102
8815,25092
8825,25060
8836,25037
8846,25010
8856,24987
8866,24980
8875,24960
8885,24944
8895,24932
8905,24906
8915,24908
8925,24901
8935,24912
8945,24913
8955,24924
8966,24914
8976,24920
8986,24937
8996,24947
9005,24961
9015,24980
9025,24981
9035,25007
9045,25009
9055,25021
9065,25032
9076,25025
9086,25023
9096,25036
9106,25024
9115,25029
9125,25015
9135,25012
9145,25008
9155,25012
9165,25017
9175,25022
9186,25016
9196,25026
9206,25032
9215,25045
9225,25046
9235,25046
9245,25067
9255,25065
9265,25075
9275,25082
9286,25077
9296,25100
9306,25099
9315,25108
9325,25123
9335,25113
9345,25121
9355,25123
9365,25144
9375,25151
9386,25149
9396,25154
9406,25155
9415,25157
9425,25157
9435,25146
9445,25149
9455,25145
9465,25133
9475,25132
9486,25102
9496,25083
9506,25067
9516,25055
9525,25043
9535,25013
9545,25005
9555,24994
9565,24989
9575,24993
9585,24984
9596,24977
9606,24986
9616,24986
9625,24996
9635,24994
9645,24991
9655,24999
9665,25022
9675,25029
9685,25026
9696,25023
9706,25039
9716,25046
9725,25046
9735,25038
9745,25038
9755,25044
9765,25046
9775,25056
9785,25046
9796,25047
9806,25062
9815,25070
9825,25080
9835,25069
9845,25085
9855,25099
9865,25111
9875,25113
9885,25120
9895,25119
9906,25141
9916,25155
9926,25169
9935,25166
9945,25150
9955,25135
9965,25112
9975,25114
9985,25116
9995,25112
10005,25110
10015,25115
10025,25109
10036,25111
10046,25122
10056,25126
10066,25129
10075,25139
10085,25128
10095,25125
10105,25130
10115,25120
10125,25125
10135,25114
10145,25096
10155,25072
10165,25050
10176,25022
10186,24991
10196,24964
10205,24928
10215,24907
10225,24868
10235,24853
10245,24850
10255,24837
10265,24838
10275,24837
10285,24833
10295,24832
10305,24826
10316,24845
10326,24846
10336,24856
10345,24862
10355,24863
10365,24870
10375,24868
10385,24880
10395,24882
10405,24888
10415,24892
10425,24889
10435,24885
10445,24886
10456,24885
10466,24892
10475,24892
10485,24898
10495,24898
10505,24900
10515,24906
10525,24908
10535,24911
10545,24924
10555,24923
10565,24922
10576,24943
10586,24956
10595,24961
10605,24969
10615,24973
10625,24983
10635,24990
10645,25013
10655,25012
10665,25013
10675,25021
10686,25024
10696,25030
10705,25040
10715,25044
10725,25036
10735,25057
