timestamp_ms,ir_value
1761902820591.1528,ets Jul 29 2019 12:21:46
rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
configsip: 0, SPIWP:0xee
mode:DIO, clock div:1
load:0x3fff0030,len:4980
load:0x40078000,len:16612
load:0x40080400,len:3480
1761902820615.125,entry 0x400805b4
1761902820799.105,23860
1761902820839.139,23877
1761902820879.017,23854
1761902820923.898,23744
1761902820958.859,23576
1761902820999.063,23470
1761902821039.0789,23449
1761902821079.051,23472
1761902821119.045,23507
1761902821159.055,23545
1761902821198.951,23572
1761902821239.079,23566
1761902821279.0488,23549
1761902821319.064,23539
1761902821358.878,23546
1761902821397.216,23552
1761902821437.1582,23568
1761902821476.948,23599
1761902821517.13,23643
1761902821557.1921,23673
1761902821597.2969,23682
1761902821637.065,23674
1761902821676.864,23587
1761902821716.9412,23443
1761902821756.925,23333
1761902821796.894,23293
1761902821836.8372,23333
1761902821876.9888,23408
1761902821917.0498,23477
1761902821956.858,23525
1761902821996.9111,23554
1761902822037.056,23561
1761902822077.18,23570
1761902822123.93,23596
1761902822156.999,23605
1761902822197.01,23620
1761902822237.021,23629
1761902822277.0579,23631
1761902822317.091,23612
1761902822356.972,23609
1761902822396.969,23612
1761902822437.016,23578
1761902822476.979,23443
1761902822516.9521,23309
1761902822557.0012,23246
1761902822603.662,23244
1761902822636.979,23275
1761902822677.419,23317
1761902822716.928,23356
1761902822756.96,23383
1761902822797.127,23375
1761902822836.9739,23374
1761902822876.965,23379
1761902822916.992,23381
1761902822957.021,23389
1761902822996.9622,23398
1761902823037.168,23413
1761902823082.222,23437
1761902823117.1812,23464
1761902823157.273,23481
1761902823197.202,23472
1761902823236.852,23387
1761902823278.5361,23243
1761902823316.936,23121
1761902823356.981,23066
1761902823396.918,23072
1761902823436.927,23117
1761902823477.0032,23193
1761902823516.929,23271
1761902823556.973,23275
1761902823596.985,23257
1761902823641.234,23245
1761902823676.927,23251
1761902823716.805,23278
1761902823756.9548,23310
1761902823796.9849,23354
1761902823836.976,23404
1761902823876.992,23418
1761902823916.997,23442
1761902823957.103,23368
1761902823996.9548,23218
1761902824036.9502,23076
1761902824076.8198,23028
1761902824116.9429,23066
1761902824157.016,23078
1761902824196.906,23089
1761902824236.968,23096
1761902824277.145,23098
1761902824316.986,23126
1761902824357.091,23175
1761902824396.925,23195
1761902824436.981,23227
1761902824476.917,23264
1761902824516.969,23290
1761902824556.918,23351
1761902824596.978,23406
1761902824636.954,23414
1761902824677.198,23389
1761902824717.289,23270
1761902824756.8481,23133
1761902824797.096,23079
1761902824836.989,23119
1761902824876.7732,23205
1761902824916.969,23274
1761902824956.893,23338
1761902824996.9958,23380
1761902825036.8801,23379
1761902825077.214,23371
1761902825116.9429,23370
1761902825156.912,23394
1761902825196.854,23411
1761902825244.3582,23427
1761902825277.193,23458
1761902825316.984,23480
1761902825356.8699,23516
1761902825396.8552,23466
1761902825441.302,23343
1761902825476.908,23246
1761902825516.959,23236
1761902825556.917,23268
1761902825596.916,23321
1761902825637.032,23370
1761902825677.0862,23371
1761902825716.788,23377
1761902825757.06,23379
1761902825796.97,23422
1761902825836.956,23448
1761902825876.916,23438
1761902825916.956,23418
1761902825956.95,23409
1761902825996.9438,23427
1761902826038.951,23466
1761902826076.917,23457
1761902826116.909,23355
1761902826157.0288,23239
1761902826196.899,23176
1761902826236.9639,23190
1761902826276.96,23182
1761902826317.043,23194
1761902826357.047,23235
1761902826397.0398,23267
1761902826437.0269,23302
1761902826476.813,23305
1761902826516.888,23311
1761902826556.962,23325
1761902826596.917,23348
1761902826636.929,23387
1761902826676.8489,23454
1761902826717.0789,23506
1761902826759.191,23510
1761902826796.925,23451
1761902826836.951,23296
1761902826876.906,23184
1761902826923.7822,23154
1761902826956.85,23180
1761902826996.895,23238
1761902827036.967,23299
1761902827076.831,23358
1761902827116.908,23376
1761902827156.857,23384
1761902827196.943,23386
1761902827238.594,23395
1761902827276.8818,23418
1761902827316.901,23433
1761902827357.018,23469
1761902827396.872,23525
1761902827436.914,23575
1761902827477.012,23605
1761902827516.904,23571
1761902827556.894,23445
1761902827596.773,23319
1761902827636.826,23270
1761902827676.854,23257
1761902827716.873,23285
1761902827756.8518,23348
1761902827796.7588,23401
1761902827834.776,23405
1761902827874.929,23397
1761902827914.8618,23408
1761902827954.8508,23437
1761902827994.8052,23472
1761902828034.843,23502
1761902828074.921,23541
1761902828114.824,23570
1761902828156.426,23602
1761902828195.0059,23644
1761902828234.8809,23667
1761902828274.981,23602
1761902828314.909,23449
1761902828354.836,23354
1761902828394.818,23331
1761902828434.825,23376
1761902828474.879,23429
1761902828514.878,23487
1761902828554.862,23506
1761902828594.9321,23499
1761902828634.888,23483
1761902828675.858,23472
1761902828714.865,23489
1761902828754.848,23524
1761902828794.913,23566
1761902828834.881,23604
1761902828875.281,23633
1761902828914.885,23664
1761902828954.843,23647
1761902828994.875,23534
1761902829038.723,23427
1761902829074.89,23381
1761902829114.883,23396
1761902829154.9521,23436
1761902829204.608,23484
